16175477
/m/03wbys5
/m/03wbys5
Pat Barker
1982-05-13
a 1
about 2
acts 1
adults 2
age 1
alice 1
all 1
amount 1
an 1
and 10
anger 1
area 2
around 1
as 2
at 2
away 1
back 1
becomes 1
been 1
begins 1
behind 1
bell 1
book 1
both 1
breaking 1
brown 2
but 3
by 1
centering 1
chapters 1
character 1
characters 1
children 2
circumstance 1
class 1
community 1
covering 1
culminates 1
cutting 1
deal 1
deals 1
distrustful 1
divided 1
dying 1
each 1
eleven 2
england 1
events 1
face 1
feeling 1
few 1
find 1
from 1
general 1
had 1
hair 1
have 1
her 7
herself 1
home 1
if 1
ill 1
in 5
incident 1
increasing 1
increasingly 1
instead 1
into 1
is 3
isolated 1
it 1
kelly 6
life 1
living 1
longer 1
months 1
neighbourhood 1
night 1
no 1
northeastern 1
not 1
novel 1
of 12
old 1
on 1
one 1
openly 1
other 1
out 1
passes 1
people 1
poverty 1
range 1
rape 3
react 1
rebellion 1
responding 1
response 1
same 1
school 1
seven 1
seventies 1
she 2
short 1
silence 1
spends 1
street 3
struggles 1
such 1
sympathy 1
talk 1
the 20
them 1
they 3
this 1
time 2
to 3
trauma 1
turns 1
union 2
violence 1
walking 1
way 1
when 1
whereas 1
will 1
windows 1
with 8
women 1
working 1
would 1
year 1
