17413520
/m/047t_b7
/m/047t_b7
Linda Aksomitis
2006
a 12
accounts 1
adeline 16
after 1
all 2
allows 1
along 1
also 1
and 15
are 1
area 1
arrives 2
as 1
at 3
bagging 1
bank 1
be 2
because 1
been 1
begins 1
begun 1
being 1
better 1
book 1
brother 2
brought 1
bullies 2
burned 1
but 3
by 3
canada 2
christmas 1
come 1
conditions 1
day 2
decided 1
description 1
do 1
does 1
doing 1
down 1
dream 1
dreamed 1
dreams 1
earth 1
eight 1
employed 1
enough 1
especially 1
even 1
ever 1
expecting 1
family 6
farm 2
father 11
feels 1
fight 2
finally 1
find 1
fired 1
fiveyearold 1
flour 1
follows 1
for 2
forced 1
friends 1
from 4
german 1
germany 2
get 2
girl 2
grass 1
great 1
had 2
has 6
have 1
he 2
helped 1
henery 1
her 17
home 2
horrible 1
immigrants 2
in 8
into 1
is 5
job 1
just 1
kat 3
kindly 1
konrad 1
learns 1
left 2
letters 1
life 5
like 1
lives 1
made 1
make 1
makes 1
making 1
mom 1
money 1
more 1
mother 1
move 3
moves 2
mueller 1
named 1
narrative 1
new 3
not 3
now 1
of 5
off 1
on 1
one 2
play 3
prejudice 1
prejudiced 1
provide 1
quappelle 1
received 1
relationship 2
reported 1
rest 2
revealed 1
richer 1
ruined 1
sarah 2
saskatchewan 3
school 1
seen 1
she 6
since 2
singer 1
sings 1
so 1
soddle 1
solo 2
soon 1
splendid 1
start 2
started 1
steamship 1
story 1
strained 2
take 1
takes 1
that 6
the 25
their 3
then 3
these 1
through 1
time 1
to 15
townspeople 1
train 1
traveling 1
true 1
truth 1
twelveyearold 1
two 1
was 2
when 1
where 1
which 1
who 2
will 1
with 5
wonderful 1
worked 1
works 1
would 1
