163494
/m/015q_m
/m/015q_m
Peter Shaffer


a 31
ability 1
about 1
act 1
acts 1
actually 1
adds 1
adjust 1
adult 1
advertising 1
after 1
again 1
age 2
agrees 1
alan 40
all 2
allows 1
also 4
am 1
an 3
and 28
another 1
answered 1
antagonized 1
any 2
approached 1
are 1
as 4
ask 1
asked 2
asking 1
asks 2
aspects 1
at 5
atheist 1
attraction 2
back 1
bareback 1
barren 1
be 5
beach 1
becomes 3
bed 1
been 1
began 1
begins 4
begs 1
believing 1
beneath 1
bible 2
biblical 1
bit 2
blades 1
blanks 1
blinds 1
bodies 1
both 1
break 1
breaks 1
but 7
by 7
case 1
chains 1
children 2
christian 1
clean 1
clear 1
close 1
coats 1
come 2
comments 1
commitment 2
concerned 1
concludes 1
confessions 1
conflicting 1
contact 2
contentment 1
convinces 1
could 1
court 1
cries 1
crime 1
crucifixion 1
daily 1
dalton 2
deal 1
desiring 2
destroyed 1
destroying 1
devotion 1
devout 1
dialogue 1
difficulty 1
dirty 1
disappointment 1
discovers 1
disgusted 1
dissatisfaction 1
divulges 1
does 2
doing 1
dora 1
doubts 1
dream 2
dull 1
during 3
dysart 17
each 1
earlier 1
early 1
effect 1
electrical 1
elements 1
enact 1
encountered 1
enemies 1
enslaved 1
enslaves 1
entrails 1
envisions 1
envy 1
equus 4
equusdysart 1
established 1
event 1
ever 1
excited 1
existence 1
extreme 1
extremity 1
eyes 2
far 1
father 5
feel 1
feeling 1
feelings 1
figures 1
filling 1
find 1
finds 1
first 2
fixated 1
foot 1
for 6
forever 1
forgiveness 1
found 1
frank 2
free 1
from 4
fundamentals 1
game 1
gives 1
god 3
godhead 1
godlike 1
goods 1
grandfather 1
great 1
grecianhomeric 1
grooms 1
had 8
harry 1
has 9
have 1
having 1
he 34
headway 1
hears 1
held 1
help 3
her 3
hesther 2
him 10
himself 1
his 25
home 1
honestly 1
hoof 1
horse 6
horseclippers 1
horses 11
hospital 1
however 3
hundreds 1
hung 1
hypnosis 1
hypnotizes 1
imagines 1
immaculately 1
in 14
including 1
instantly 1
intense 1
interest 3
interested 1
into 2
is 15
it 3
jealous 1
jesus 1
jill 7
jingles 1
job 1
jog 1
just 1
justify 1
keeps 1
key 1
kind 1
king 1
lacks 1
large 1
learns 1
leave 2
life 3
like 2
living 1
look 1
lord 1
love 1
lying 1
magistrate 1
makes 1
making 2
marriage 1
martin 1
mason 1
mass 1
meets 1
memory 1
meneven 1
midnight 1
mine 1
minei 1
mineyoure 1
model 1
monologue 1
more 3
moreover 1
mother 3
mouth 1
movie 1
movies 1
much 1
murder 1
muscular 1
must 1
naked 1
named 1
natural 1
needed 1
neverending 1
no 2
noises 1
normal 2
not 3
nugget 2
numerous 1
occupation 1
occurrence 1
of 26
off 3
official 1
officials 1
on 6
once 1
one 3
only 1
open 1
or 2
other 1
out 1
outlines 1
over 1
own 1
owner 1
parents 2
particularly 1
passion 1
people 1
pet 1
pick 1
picture 2
pill 1
place 1
placebo 1
play 2
playing 1
practice 2
presence 1
presiding 1
problem 1
professional 1
psychiatric 1
psychiatrist 1
public 1
pulled 1
pulls 1
question 1
questioning 3
questions 1
ran 1
read 2
realize 1
realized 1
receiving 1
recurring 1
reflects 1
religion 1
religious 2
remove 1
removing 1
replaced 1
replies 1
responds 1
return 1
revealing 1
reveals 4
rider 2
rides 1
riding 1
ritual 2
robbed 1
rode 1
sacrifice 1
salomon 2
says 1
scene 1
scoffed 1
screams 1
secretly 1
seduces 1
seen 1
sees 5
seest 1
seethes 1
selling 1
setting 1
sex 2
sexual 4
she 4
shop 2
shouts 1
show 1
simply 1
since 2
singing 1
six 1
skills 1
slices 1
slowly 1
smell 1
soul 1
stables 4
staring 1
start 1
stop 1
story 1
strang 4
such 2
suggests 1
supply 1
sweat 1
take 2
taken 2
takes 1
tales 1
terms 1
terrifying 1
that 22
the 45
theater 2
their 5
them 2
theme 1
then 2
there 3
these 1
they 3
thick 1
thing 1
this 5
threatening 1
through 2
thy 1
time 1
to 30
told 1
too 1
took 1
tortured 1
training 1
traumatized 1
treating 1
treatment 1
tried 1
tries 1
troubled 1
true 1
truth 1
tryst 1
two 1
up 1
value 1
very 1
viewpoints 1
violent 3
violently 1
viscera 1
visibly 1
visits 2
walks 1
wanting 1
wants 1
was 5
way 2
western 1
what 5
when 4
where 2
whether 1
which 4
while 1
who 5
whose 1
will 3
wishes 1
with 14
work 1
worker 1
working 1
worship 3
would 1
yes 1
you 4
youhe 1
young 1
yours 1
youth 1
youths 1
