16208031
/m/03wczmm
/m/03wczmm
Jules Verne
1895
100 2
1000 1
11 1
12 1
150 1
1540 1
16 2
18 1
2 1
20000 1
250mile 1
3 2
30 1
4 3
5 2
6 1
7yearold 1
8 1
a 56
abandon 1
abandoned 1
able 3
about 1
absence 2
absent 2
accepts 1
actor 1
actress 2
addition 1
adoptive 1
adopts 1
advises 1
after 9
afterwards 1
again 5
age 2
aged 1
agrees 1
all 1
alone 1
along 1
already 1
also 2
altogether 1
among 2
an 7
and 46
angel 1
animating 1
anna 4
anonymously 1
another 3
antics 1
any 1
appears 1
appropriate 1
are 2
around 2
arrives 3
as 12
ashton 7
assistant 1
assistants 1
at 18
attacker 1
attacks 1
attic 2
australia 2
away 3
barely 2
be 8
become 3
becomes 2
becoming 3
been 1
before 2
begins 1
begun 1
behind 1
being 4
belfast 1
belongs 1
better 1
between 1
birk 8
birthday 1
board 2
bob 3
bottle 2
boy 21
boys 4
briefcase 2
bring 1
building 2
burying 1
business 2
businessman 2
but 7
buy 1
by 20
calling 1
came 1
cannot 1
capital 1
care 3
cared 1
cargo 2
carker 2
cart 1
castle 6
cathedral 1
catholics 1
caught 3
cemetery 1
chapter 1
child 1
childhood 1
children 2
circumstances 1
city 3
claiming 1
close 2
clutches 1
co 1
cold 1
collapsing 1
collectible 1
come 1
compassionate 1
concealed 1
conduct 1
confronts 1
connacht 1
constant 1
consult 1
containing 2
continue 1
continues 1
cork 5
could 1
count 1
county 2
couple 2
crowd 1
customer 1
daughter 1
day 2
dear 1
death 2
debt 2
decide 2
decides 3
defends 1
demolished 1
demonstrating 1
departure 1
desires 1
desperation 1
despite 1
destitute 1
devout 1
did 1
dig 1
dignity 1
disasters 1
discovers 1
dismay 1
disturbs 1
do 1
does 1
dog 5
dogs 2
dragged 1
drags 1
drinking 1
driven 1
driving 1
drunk 1
dublin 5
due 1
dug 1
dumps 1
during 6
duties 1
dying 1
early 3
earn 1
earned 4
earning 1
earns 1
education 2
either 1
elder 2
elderly 1
elisa 1
else 1
emotionally 1
encounters 1
end 1
ends 1
ensues 1
entered 1
even 2
ever 1
every 1
evict 1
evicted 1
eviction 2
evil 1
exception 1
faithful 1
familial 1
family 19
farm 10
farmer 1
farmers 1
fate 1
fellow 28
fellowmdashthe 1
fellows 1
female 1
few 1
finally 2
find 2
finds 2
fir 2
fire 3
fireman 2
first 5
follow 1
following 1
foot 1
for 16
foretelling 1
formidable 1
fortune 2
foster 1
found 3
foundling 1
free 1
freezing 1
friend 2
friends 2
from 13
further 1
galway 2
gang 2
getting 1
girl 2
given 1
gladsome 1
goddaughter 1
godfather 1
goes 1
gone 1
good 5
grandmother 3
grip 11
groom 2
ground 1
grownup 1
guards 1
had 1
halfyear 1
hands 2
happened 1
happens 1
hard 2
hardworking 1
harvest 1
has 5
having 8
he 20
help 3
hence 1
her 4
hesitation 1
him 8
himmdashhis 1
himself 4
his 28
hit 1
home 2
homeland 1
honesty 1
honorable 1
hopes 2
house 1
household 1
how 1
however 2
hungry 1
hunt 1
hut 1
ill 1
immediately 1
imprisoned 1
in 28
inclinations 1
indeed 1
information 1
instead 2
instructs 1
integral 1
into 8
invested 1
invited 2
invites 1
ireland 1
is 18
issue 1
it 5
its 1
jenny 3
join 1
journey 2
kat 2
kerry 1
kerwan 3
kills 1
kiosk 1
kioskmdasha 1
kitty 2
knew 1
know 1
known 3
land 1
landlord 2
landowners 2
later 2
latter 2
laundress 1
leader 1
leads 1
learns 2
leave 3
leaves 4
led 1
left 3
let 1
life 5
limerick 4
literally 1
litl 30
little 2
live 1
lived 1
local 3
lock 1
long 1
lord 1
lost 1
luck 1
maccarthy 5
make 4
making 1
manager 1
manifest 1
manner 1
marquis 3
marrying 1
martin 4
martine 2
master 2
mechanism 3
medicine 1
meet 2
meets 1
mentioning 1
merchant 5
met 1
middleaged 2
migrated 1
miles 1
mind 1
moment 1
money 2
months 3
more 1
most 1
mother 1
move 1
movement 1
much 2
munster 1
murdock 2
must 1
name 1
named 1
nationalist 1
natural 1
nature 1
naught 1
near 1
nearly 2
need 1
negotiate 1
negotiations 1
neighboring 2
neither 1
never 1
newborn 1
newly 1
newmarket 1
newspaper 1
next 1
no 4
nor 1
not 2
nothing 1
notice 1
noticed 2
notices 1
now 9
nowmdashthe 1
obodkins 1
obrien 3
obtain 1
obtained 1
occupying 1
odds 1
of 60
off 3
offended 1
offered 1
old 8
on 16
once 2
one 7
onlookers 1
onlooking 1
only 9
opens 1
operate 1
operated 2
or 4
order 2
orgy 1
orhpanage 1
orphanage 1
other 1
out 5
over 1
own 2
owner 1
pale 1
panhandling 1
par 1
parent 1
part 1
participation 1
particularly 1
party 1
patrick 1
pay 1
paymentmdasha 1
peace 1
pebbles 3
peers 1
people 2
performance 2
perished 1
perishing 1
perseveres 1
person 2
personnel 1
piborne 2
piece 1
planted 1
play 1
playing 1
pleas 1
point 3
police 1
poor 1
populace 1
popular 3
position 1
pot 2
pounds 1
poverty 2
practice 1
prepares 1
pretentious 1
priest 1
principal 1
prior 1
proceeds 1
promise 1
proper 1
protagonist 1
proven 1
ptitbonhomme 1
public 2
puppeteer 1
puppets 2
purses 1
put 1
quickly 1
ragged 3
raise 1
ran 1
reality 1
recalls 1
recognized 1
reconstruct 1
reduced 1
refusal 1
refusing 1
regarding 1
regular 2
regularly 1
religious 1
reluctant 1
remainder 1
remembers 1
rent 1
renting 1
repaid 1
repay 1
requests 1
rescued 1
rescues 1
residence 1
residents 1
rest 1
retired 1
return 2
returned 1
returning 2
reunion 1
reunite 2
revealed 2
ridicule 1
risking 1
river 1
road 1
roaming 1
rock 1
role 1
roman 1
roof 1
rooms 1
ruins 2
rule 1
sailing 1
saved 2
saving 1
scarcely 1
school 5
seaman 1
second 1
secret 1
secular 1
see 1
sees 1
separated 1
servant 1
servants 1
serve 1
serves 1
service 4
set 1
sets 2
settled 1
settling 1
several 2
severely 1
she 1
sheltered 1
shelters 1
shepherd 1
short 1
shortly 1
show 2
shows 1
simeon 2
simply 1
sissy 2
sissymdashthe 1
sister 2
small 2
some 2
son 4
soon 1
spend 1
spending 1
spends 1
spoiled 1
spurred 1
stands 1
start 1
states 1
stay 1
steam 1
steps 1
sterlingmdashenough 1
still 2
store 3
story 2
streets 1
strike 1
stunned 1
successful 2
such 1
suffer 1
suffering 1
sum 1
supplier 1
supported 1
supposedly 1
surroundings 1
surviving 1
take 1
taken 3
takes 3
taking 1
tearing 1
tell 1
tempest 1
than 1
that 7
the 160
theft 1
their 10
them 6
themselves 1
then 2
there 2
they 4
thick 1
thin 1
thing 3
think 1
this 4
thornpipe 4
those 1
through 1
throw 1
throws 1
thus 1
time 7
times 1
to 68
together 1
too 1
tortured 1
town 2
trade 1
train 1
travel 1
travels 1
tree 2
trelingar 2
trip 1
trips 1
trolley 1
troubles 1
trying 1
under 2
unexpected 1
unexpectedly 1
unfortunately 1
united 1
unstable 1
up 5
vessel 3
village 1
visit 1
visiting 1
vodka 1
vulcan 2
walking 1
wandering 1
was 11
waston 1
way 5
ways 1
weakness 1
well 2
wellbeing 1
were 2
westport 1
what 1
when 9
where 8
which 9
while 5
whip 2
who 13
whom 4
wife 1
willing 1
with 20
without 2
wolf 1
woman 1
worker 3
would 2
year 4
years 11
yet 3
young 5
younger 1
