4746737
/m/0cl4xl
/m/0cl4xl
Ruth Rendell
1984-10-15
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
a 12
abused 1
abusing 1
admitted 1
affluent 1
after 1
also 1
an 1
and 14
apparent 1
appearance 1
artwork 1
as 2
at 2
be 1
because 1
becomes 2
been 2
begins 2
benet 9
betrayal 1
bodyand 1
boy 1
burns 1
calls 1
cannot 1
capable 1
carol 2
children 2
cigarette 1
clever 1
comes 1
continue 1
council 1
country 1
dead 1
deeply 1
died 1
dies 1
displayed 1
distraught 1
doctor 1
doing 1
done 1
estate 1
estranged 1
events 1
evolves 1
ex 1
extremely 1
family 1
father 2
fearful 1
finds 1
first 2
friends 1
from 3
grief 1
grows 1
hampstead 1
hands 2
happened 1
has 7
have 1
he 4
her 9
him 2
himself 1
his 1
history 1
horrified 1
hospital 1
house 1
however 1
ill 2
illness 1
in 9
into 1
involves 1
involving 1
is 7
it 1
james 6
jason 4
jay 2
kidnapping 1
kind 1
knows 1
leads 1
leave 1
life 1
little 3
live 2
london 1
look 1
lot 1
love 2
man 2
may 3
mental 1
mother 6
murder 1
must 1
named 1
new 1
north 1
now 1
of 10
on 4
order 1
particular 1
partners 1
piece 1
plot 1
possibly 1
pressure 1
previous 1
prostrated 1
puts 1
question 1
rather 1
reader 1
realise 2
realises 2
refers 2
replacing 1
sale 1
schizophrenia 1
see 1
several 1
she 11
son 1
spain 1
spends 1
start 2
state 1
story 1
sub 1
subplot 1
taken 1
tells 1
that 6
the 12
their 1
them 1
they 1
this 2
time 1
title 1
to 15
tree 2
tries 1
turn 1
twist 1
twoyearold 1
unfaithful 1
unfortunately 1
very 2
visit 1
wall 1
ward 1
was 1
what 4
when 1
who 3
with 1
woman 2
young 3
