4447261
/m/0c2ytm
/m/0c2ytm
Beatrix Potter
1903-08
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 2
about 2
alive 1
and 4
annoys 1
another 1
as 1
ask 1
attention 1
brother 1
brown 4
but 2
constructed 1
cousins 1
dances 1
day 2
days 1
do 1
escapes 1
eventually 1
every 2
for 1
gift 1
gifts 1
go 1
have 1
him 1
his 4
however 1
impertinently 1
island 2
little 1
losing 1
many 1
most 1
no 1
not 1
nutcollecting 1
nutkin 7
of 2
offer 2
often 1
old 4
on 2
once 1
owl 4
pays 1
permission 1
permits 1
rafts 1
resident 1
riddle 2
sail 1
seizes 1
silly 1
singing 1
singsong 1
six 1
skin 1
squirrel 1
squirrels 2
tail 1
taunts 1
the 4
their 3
they 2
to 6
too 1
tries 1
twigs 1
twinkleberry 1
well 1
with 1
without 1
work 1
