2409043
/m/07b1qz
/m/07b1qz
Anya Seton

200 1
a 7
acadian 1
acadianenglish 1
amy 2
an 1
and 4
angemarie 1
anguish 1
another 1
around 1
been 1
before 1
believes 1
beloved 1
book 1
bookish 1
bottom 1
by 1
century 1
connecticut 1
delatour 1
dream 1
dreams 1
eighteenth 1
englander 1
exile 1
fantasies 1
fire 1
french 2
from 1
fugue 1
get 1
girl 2
goes 1
had 1
her 4
high 1
highly 1
husband 1
in 4
intelligent 1
interest 1
into 1
is 2
life 1
lineage 1
lived 1
lives 1
martin 1
mysterious 1
named 1
new 1
of 5
often 1
one 1
over 1
parallel 1
paul 1
phobia 1
revolves 1
school 1
separated 1
she 2
shy 1
soul 1
stage 1
state 1
states 1
stone 1
takes 1
teachers 1
teenage 1
teenager 1
that 1
the 4
they 1
this 1
to 2
together 1
tormented 1
troubled 1
try 1
uncertainty 1
until 1
unusual 1
where 1
who 3
woman 1
years 1
young 2
