1364178
/m/04wxr8
/m/04wxr8
Betty Smith
1943
100 1
10yearold 1
112 1
115 1
116 1
117 1
118 1
11yearold 1
14 1
17 1
a 31
ability 1
about 4
accepts 1
admired 1
admires 1
adversity 1
afloat 1
after 3
afterschool 1
again 1
alcoholism 1
alcoholisminduced 1
all 2
allows 1
almost 1
also 1
although 2
an 1
and 37
annie 1
apartment 4
are 1
arrive 1
artificialflower 1
as 7
at 4
attack 1
attempts 1
attend 1
aunt 1
austria 1
baby 2
babysitting 1
back 1
be 1
because 2
become 2
becomes 1
before 2
begin 1
begins 2
ben 2
better 2
birthday 1
blake 1
book 7
books 1
born 1
both 1
breadwinner 1
brief 1
brooklyn 2
brother 1
brought 1
building 1
buildings 1
businessman 1
but 2
by 4
character 1
characters 1
childhood 1
childrapistmurderer 1
children 7
choosing 1
christmas 1
classes 1
cleaning 1
clipping 2
closes 2
college 1
collegelevel 1
come 2
considering 1
constantly 1
continue 1
cornelius 1
courses 1
covering 1
daily 1
dates 1
daughter 1
day 1
death 2
decides 1
declines 1
defines 1
delirium 1
depression 1
despite 1
destroy 1
determined 1
different 2
difficult 1
disappointment 1
disgrace 1
dismal 1
do 1
door 1
dreams 1
drinking 1
drunkenness 1
due 1
during 1
each 1
earnings 1
education 2
efforts 2
embodies 1
emotional 1
encounter 1
enjoys 1
enters 1
entrance 2
escape 2
even 1
exams 2
existence 1
fact 1
factory 1
fail 1
fails 1
fall 2
falls 1
family 5
fantasies 1
fathers 1
favorite 2
finally 1
find 1
finds 1
fire 1
first 4
five 2
florrie 2
for 9
forced 2
forsaken 1
four 1
france 1
francie 20
friendly 1
from 9
future 1
get 1
gets 1
girl 1
give 1
gone 1
goodbye 1
grade 1
graduates 1
graduation 1
grow 1
grown 1
habits 1
handsome 1
has 8
have 1
having 1
he 7
heartbreak 1
heaven 1
heavily 1
hello 1
help 2
helps 1
her 19
herself 2
high 4
him 3
himself 1
his 4
hold 1
home 2
how 1
i 1
idea 1
if 1
ill 1
imagination 1
immigrants 1
improve 1
in 24
instead 1
insurance 1
into 4
introduced 1
introduces 1
ireland 1
irregular 1
is 13
it 5
jazzragtime 1
job 3
jobs 3
johnny 10
jumps 1
june 1
junkselling 1
kate 3
katie 12
keeps 1
known 1
ladies 1
last 1
laurie 1
leads 2
learn 1
learning 2
learns 1
leaves 1
leaving 1
lee 1
life 4
like 1
little 1
lives 3
long 1
love 2
made 1
makes 2
marriage 2
married 1
mary 1
may 1
mcshane 2
meanwhile 1
meeting 1
metaphor 1
michael 1
michigan 1
minds 1
misguided 1
money 2
more 1
mother 2
move 2
much 1
must 1
named 1
neeley 5
neely 2
neighboorhood 1
neighborhood 3
neighbors 1
never 1
new 3
next 1
no 1
nolan 1
nolans 4
notices 1
novel 1
now 2
odd 1
of 22
office 2
officer 1
on 8
once 2
one 3
only 1
opens 1
operator 1
out 2
overcome 1
overcrowded 1
own 1
panics 1
parents 1
passed 1
passes 1
pays 1
pennies 1
people 1
period 1
person 1
piano 1
pipesmoking 1
places 1
plan 1
player 1
pneumonia 1
police 1
policies 1
politician 1
possibility 1
poverty 1
preference 1
pregnant 2
prepare 2
press 1
pretends 1
promise 1
proposal 1
provide 1
public 2
quits 1
rapidly 1
reading 1
reality 1
reasoning 1
reflects 1
relationship 1
relies 1
resents 1
resolves 1
respectively 1
resprouted 1
result 1
retired 1
rhynor 1
robust 1
salary 1
same 1
saves 1
says 1
school 7
seeing 1
sees 2
self 1
send 2
sentiment 1
sentimental 1
set 1
settle 1
seven 2
sexy 1
she 15
ship 1
shooting 1
short 1
shortly 1
since 2
singing 1
sissy 1
sitting 1
six 1
skip 1
softly 1
soldier 1
some 1
song 1
split 1
squalid 1
start 3
states 1
steady 1
struck 1
student 1
subsequent 1
subsists 1
summer 1
support 1
surroundings 1
survival 1
take 2
talented 2
talking 1
teenage 1
teletype 2
temporary 1
tenement 1
terms 1
than 1
that 6
the 45
their 5
them 2
then 4
there 1
these 1
they 1
this 1
three 1
thrive 1
time 1
to 34
tongues 1
transferred 1
tree 1
tremens 1
tries 1
turns 1
twice 1
two 1
united 1
university 1
until 1
use 1
version 1
very 1
visit 1
voting 1
wages 1
waiter 1
wants 1
war 1
watching 1
way 1
wealthy 1
wedding 1
when 3
which 2
while 2
who 6
will 2
williamsburg 2
window 1
with 11
within 1
word 1
work 1
works 1
world 1
yard 1
year 1
years 1
young 2
