3888194
/m/0b574r
/m/0b574r
Margery Allingham
1936
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 22
about 1
accountant 1
admits 1
after 2
again 1
albert 1
almost 1
also 1
an 4
and 22
apparent 1
appointment 1
area 1
around 2
arrested 1
arrival 1
as 1
at 7
attends 1
awkward 1
barnabas 5
bath 1
be 2
been 4
before 1
befriends 1
begins 1
bleak 1
body 3
brande 3
british 1
broad 1
business 1
but 5
buy 1
by 3
called 2
calls 1
campion 11
car 2
carbon 1
case 1
certain 1
changing 1
circus 1
clearly 1
clown 1
concerning 1
confesses 1
connect 1
copier 1
copy 2
corner 1
court 1
cousin 3
crime 1
criminal 1
cupboard 1
curled 1
day 2
daylight 1
days 2
dead 1
death 1
decision 1
died 1
disappeared 2
discovers 2
display 1
district 1
doctor 1
doctors 1
document 1
door 3
down 1
drop 1
eight 1
eldest 1
element 1
entered 1
evening 1
except 1
exhaust 1
exhausted 1
family 1
fetch 1
fight 1
find 2
finds 6
firm 2
flat 2
for 11
found 4
founder 1
france 1
friend 1
from 7
front 1
fumes 1
garage 1
gas 1
gathering 1
gets 1
gina 3
goes 1
had 1
has 5
have 1
having 3
he 18
heard 1
heater 1
held 1
help 3
her 4
him 4
himself 1
his 6
holidaying 1
home 1
hoped 1
housekeeper 1
hurls 1
husband 1
impossible 1
in 14
information 1
inhalation 1
inquest 1
inside 1
into 1
investigate 1
investigates 1
is 9
it 7
its 1
jammed 1
john 2
key 7
kicks 1
killed 1
knows 1
later 2
leading 1
leads 1
learns 3
leaves 1
length 1
lives 1
locked 3
london 1
long 2
look 2
looking 1
looks 1
lost 1
love 1
lugg 2
made 4
maid 1
man 2
manuscript 3
md 1
mentioned 1
mike 9
mind 1
miss 1
missed 2
mistress 2
monoxide 1
morning 1
move 1
mrs 1
much 1
murder 1
museum 1
mystery 1
neighbour 1
nephews 1
netley 1
never 1
next 4
night 6
nine 2
no 1
noone 1
normal 1
not 2
note 1
nothing 2
odd 1
of 12
off 1
offices 3
old 2
on 4
one 1
original 2
other 1
out 2
outside 1
owned 1
paid 1
papers 1
past 1
paul 14
performing 1
persuade 1
pipe 2
place 1
plain 1
police 2
position 1
provides 1
pry 1
questioning 1
questions 2
rather 1
rear 1
recentlybroken 1
relationship 1
remarkable 1
remarked 1
renowned 1
returned 1
returns 1
reveal 1
rigget 2
ritchie 5
room 1
rubber 1
running 2
sabotaged 1
says 3
scene 1
secretary 1
seen 1
sees 2
sent 1
several 1
shaken 1
she 2
shortly 1
shut 1
six 1
sleep 1
sneaking 1
some 2
someone 1
soot 1
sprawled 1
staff 1
stained 1
still 1
stranger 1
street 1
streets 1
subdues 1
suddenly 1
suicide 1
sunday 1
suspicious 1
taken 1
tells 2
terrible 1
testifies 1
that 8
the 60
there 2
they 2
things 1
three 1
time 1
to 27
together 1
tom 2
too 2
took 2
tracks 1
trial 1
uncle 1
underground 1
unlocked 1
unpublished 1
until 1
up 2
upstairs 1
used 1
using 2
valuable 2
vanished 1
vanishing 1
vault 9
ventilator 2
view 1
visit 2
visits 2
walking 1
warm 1
warn 1
was 2
waterheater 1
wedged 1
were 1
when 1
where 1
which 2
while 1
who 3
widdowson 4
will 1
windows 1
with 8
without 1
younger 1
