20347453
/m/04_0_b0
/m/04_0_b0
Beverley Naidoo
2000-01
{"/m/0dwly": "Children's literature"}
10yearold 1
12yearold 1
a 9
abandons 1
after 1
airport 1
alien 1
although 2
an 1
and 15
are 6
arrested 1
art 1
as 3
asylum 1
at 3
attention 2
auntie 1
authorities 1
avon 1
badly 1
bankole 2
be 3
been 1
believing 1
beverly 1
book 2
braves 1
bring 1
british 1
brother 1
bullies 1
but 2
by 2
called 2
calls 1
can 2
case 1
certain 1
chance 1
children 3
christmas 1
claim 1
collect 1
college 1
come 1
comfort 1
concentration 1
confusing 1
contact 1
contrast 1
corrupt 1
couple 1
critical 1
day 1
death 1
dele 1
deported 1
different 1
donna 1
dreams 1
emerges 1
end 1
endangers 1
ended 1
ends 1
england 3
entered 1
especially 1
events 1
experiences 2
face 1
fails 1
father 7
femi 2
find 1
first 1
fly 1
folarin 1
for 4
forced 1
former 1
fostered 1
freezing 1
friendless 1
from 2
girl 2
give 1
goes 1
gracie 1
graham 2
grandmother 2
granted 1
greenslades 1
grown 1
halftruths 1
hardest 1
has 4
have 1
he 2
hearing 1
help 1
her 19
his 1
hope 1
illegally 1
in 9
is 7
it 3
iyawo 1
jamaican 1
jenny 1
journalist 1
just 1
kevin 1
kings 1
later 3
leave 1
left 1
letter 1
life 2
lighter 1
london 1
look 1
looking 1
lose 1
makes 1
many 1
marcia 1
mariam 2
meets 1
memories 1
memory 2
misses 1
moneyless 1
most 1
mother 2
mr 2
mrs 4
murder 1
naidoo 1
nathan 1
newscaster 1
nigeria 3
nigerian 1
night 1
not 1
novel 2
obscure 1
oclock 1
of 12
often 1
on 4
one 2
opens 1
out 1
owner 1
pack 1
passport 1
person 1
perspective 1
point 2
police 2
posing 1
presents 1
pressure 1
primary 1
public 1
putting 1
recurs 1
refuge 2
regime 1
release 1
remembered 1
return 1
royfrom 1
sade 12
safely 1
safety 1
school 3
schools 1
secretly 1
seem 1
seen 1
send 1
sent 2
set 1
seven 1
she 3
shooting 1
shots 1
silence 1
similar 1
so 1
solaja 2
somalia 1
son 1
speak 1
station 1
steal 1
store 2
story 3
stranger 1
streets 1
strength 1
suddenly 1
takes 1
television 1
tell 1
that 2
the 27
their 4
them 5
there 1
they 10
things 1
third 1
this 1
though 1
thoughts 1
throughout 1
thus 1
to 25
touching 1
travel 1
treat 1
truth 1
try 1
tunde 1
turquoise 1
two 1
uncle 5
up 1
urges 1
used 1
vandals 1
very 2
victoria 1
video 1
view 2
wander 1
wanted 1
when 1
where 2
which 3
while 1
whose 3
wife 1
will 1
wisdom 1
with 2
words 1
working 1
works 1
worried 2
written 1
yet 1
