8431966
/m/02736bq
/m/02736bq
Mary McCarthy
1955
{"/m/05hgj": "Novel"}
a 3
abortion 2
accident 1
after 2
ambiguous 1
an 2
and 4
are 1
at 2
away 1
baby 1
background 1
becomes 1
beginning 1
begins 1
by 1
car 1
clinic 1
coes 2
decides 1
drunkenly 1
during 1
dying 1
ends 1
especially 1
everyday 1
experienced 1
from 1
gradually 1
have 3
having 1
her 1
home 1
house 1
in 2
introduced 1
is 2
john 2
lends 1
life 1
martha 6
miles 1
money 1
night 1
of 1
on 1
one 1
party 1
paternity 1
picnic 1
pregnant 1
rather 1
sex 1
she 1
simple 1
sinnott 1
soon 1
stories 1
story 2
than 1
the 8
their 2
to 2
trials 1
tribulations 1
warren 1
way 1
when 1
whose 1
with 3
