11590361
/m/02rkm9p
/m/02rkm9p
Peter Robinson
2004-01
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
a 3
accident 1
action 1
add 1
alan 1
all 1
an 1
and 6
annie 1
another 2
are 1
arson 1
art 1
as 1
banks 4
becomes 2
bitten 1
blurring 1
board 1
bodies 1
both 1
boyfriend 1
breakup 1
but 1
cabot 3
can 1
canal 1
case 2
chew 1
city 1
complicated 1
crossing 1
dci 1
death 1
di 2
discovery 1
diversion 1
doesnt 1
draws 1
eastvale 1
entangled 1
even 2
ever 1
exwife 1
fire 2
firefighters 1
found 2
fraud 1
from 3
girlfriend 1
has 1
have 1
he 1
his 3
houseboats 1
in 5
incest 1
inch 1
it 2
life 2
like 1
lurking 1
man 1
may 1
midst 1
moors 1
more 2
new 1
north 1
occasionally 1
of 6
off 1
old 1
on 3
one 2
or 2
paedophilia 1
personal 1
picture 1
pregnancy 1
real 1
recent 1
robinson 1
shock 1
smarting 1
so 1
soon 1
still 1
than 1
that 1
the 13
their 1
then 1
this 1
though 1
time 1
to 3
trust 1
two 2
unravels 1
victims 1
village 1
villain 1
vision 1
vivid 1
was 2
watching 1
welcomes 1
why 1
widens 1
with 2
woods 1
york 1
