2746510
/m/080hzj
/m/080hzj
John Birmingham

142 3
2021 1
21st 5
a 13
about 1
action 1
admiral 2
after 3
against 2
aircraft 1
albert 1
all 2
along 1
alongside 2
american 4
an 2
and 23
are 4
arrival 1
as 5
assume 1
at 1
australian 1
back 2
backstory 1
battle 2
between 1
black 1
boards 1
book 2
both 2
bridge 2
british 1
but 2
by 5
california 1
caliphate 2
calling 1
came 1
captain 1
captive 1
carried 1
carrier 1
century 4
chinese 2
ci 1
citizens 1
clinton 1
combat 1
commanded 1
commander 1
commanders 1
commotion 1
constantly 1
d 1
daniel 1
decides 1
defensive 1
departure 1
designed 1
destroyer 1
did 2
director 1
do 1
during 1
east 1
einstein 1
encounters 1
end 1
ensign 1
escort 1
evaluation 1
experimenting 1
face 1
few 1
find 1
fire 1
flagship 1
fleet 3
flown 1
for 1
force 4
franklin 1
free 2
french 1
from 4
germany 1
goes 1
government 3
group 1
growing 1
halabi 1
happen 1
harbor 1
her 1
hillary 1
history 1
hitler 1
hjims 1
hms 1
home 2
however 2
in 7
including 1
indonesian 2
indonesians 2
intelligence 1
invade 1
invasion 1
investigate 1
is 13
islamic 1
island 1
islands 1
it 3
its 1
itself 1
japanese 7
join 1
jrv 2
karen 1
kolhammer 3
kommando 1
kri 1
large 1
learn 2
learns 1
liberate 1
like 1
locals 1
lt 1
luzon 1
made 1
mainland 1
mainly 1
make 1
manning 1
meet 1
midway 3
mix 1
more 2
most 1
multinational 4
murders 1
nagoya 3
named 1
naval 1
navy 4
nearly 1
negotiate 1
new 2
no 1
not 3
of 13
off 1
on 3
only 1
open 1
order 1
ordered 3
other 1
out 2
outside 1
own 1
part 1
peace 2
pearl 1
people 1
personnel 2
phillip 1
place 1
planning 1
pope 1
possible 1
pow 1
prepares 1
president 2
prior 2
project 1
prompts 1
protecting 1
rapes 1
raymond 1
reach 1
realise 1
rear 1
referred 1
rescue 2
rest 2
results 1
ribbentrop 1
riots 1
roosevelt 1
royal 1
run 1
russia 1
ryj 1
same 1
scientific 1
send 1
sends 1
sent 4
ship 6
ships 3
sight 1
singapore 1
slaughtering 1
so 1
soviet 2
spetsnaz 1
spezialkrfte 1
spot 1
spruance 1
spy 1
start 1
starts 2
states 1
stealth 1
strangely 1
stuck 1
sutanto 1
take 1
taken 1
takes 1
task 2
taskforce 9
that 2
the 59
their 2
them 3
they 5
those 1
through 2
time 1
timor 1
to 20
transfer 1
trial 1
trident 2
tridentclass 1
trimaran 1
try 1
uncompromising 1
union 2
united 1
units 2
unknown 1
unsteady 1
up 2
usled 1
uss 1
warned 2
wartime 1
was 2
watched 1
way 1
what 1
which 2
wipes 1
with 6
wormholes 1
zealand 1
