2373301
/m/077bfg
/m/077bfg
Anthony Burgess
1977-05
180s 1
227 1
a 5
about 1
adventures 1
alleged 1
amusingly 1
an 1
and 2
anthony 1
antiitalian 1
belli 2
bispham 1
blackpool 1
blasphemous 1
bonaparte 1
burgess 1
by 3
chapel 1
character 1
cleveleys 1
coastal 1
consists 1
descendant 1
describes 1
dialectal 1
during 1
elaborate 1
english 1
feeling 1
fleetwood 1
from 1
gioacchino 1
giovanni 1
giuseppe 1
gulielmi 1
gulielmis 1
has 1
how 1
icecream 1
in 6
into 1
is 1
italian 1
j 2
joachim 1
john 1
joseph 1
lancashire 1
manofletters 1
meeting 1
napoleon 1
occasioned 1
of 6
one 3
part 3
passage 1
pauline 1
pincio 1
poet 2
poisoning 1
purportedly 1
resorts 1
roman 2
seventy 1
sister 1
sistine 1
sonnets 1
the 8
thinly 1
total 1
transformed 1
translated 1
two 1
various 1
veiled 1
wave 1
were 1
wilson 3
wilsons 1
