666730
/m/03158d
/m/03158d
Mary Norton
1952
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
152 1
a 24
able 1
about 1
above 1
after 6
agreed 1
ahreeeteeh 1
all 2
allowed 2
aloud 1
ambiguous 1
an 1
and 27
annoyed 1
anxious 1
any 2
approach 1
approached 1
are 5
arrietty 13
as 3
asked 1
asking 1
at 3
attempts 1
aunt 2
away 4
back 2
badger 3
badgers 1
be 5
beans 1
bears 1
because 1
becomes 1
bed 1
been 3
before 1
beginning 1
believes 2
besides 1
beyond 1
big 4
book 3
borrowers 6
borrowing 7
boy 20
break 1
bringing 1
brings 1
brother 1
brought 1
brush 1
but 3
by 2
cab 1
calling 1
cannot 1
cant 1
cat 1
catches 1
certain 1
checks 1
children 1
clock 1
come 1
comes 2
concerned 2
continually 1
conversation 1
convinced 1
cook 1
course 1
crampfurl 3
cruelly 1
cup 1
day 1
days 2
decide 1
delivered 1
develops 1
did 1
didnt 1
disagrees 1
discovers 1
discussing 1
disturbs 1
dollhouse 1
doormat 3
dreams 1
driver 6
eggletina 2
emigrated 1
end 2
ends 1
ensuing 1
escape 1
even 1
experience 1
fate 1
father 2
feeling 2
ferret 1
fever 1
few 1
fibers 1
field 2
fields 1
figure 1
find 2
finds 2
floor 1
floorboards 1
for 3
fourteenyearold 1
friends 1
friendship 1
frightened 1
from 6
furniture 1
gardener 1
get 1
gets 1
gift 3
gifts 2
go 4
goes 1
going 1
gone 1
grating 1
greataunt 1
had 4
harm 1
has 2
have 2
he 6
hendreary 1
her 14
herself 1
him 7
his 5
home 6
homily 6
house 1
however 1
human 2
hundreds 1
if 1
in 11
india 2
instead 1
is 9
it 4
items 2
joke 1
kate 1
keeping 1
kind 2
kitchen 1
late 1
later 3
learned 1
learns 1
leave 1
left 1
letter 3
live 3
lives 1
locks 1
look 1
lupy 2
manages 2
many 2
may 1
meantime 1
meanwhile 1
meets 1
memoranda 1
missing 1
mrs 2
mysterious 1
narrator 1
never 2
new 1
next 1
niece 1
nightly 1
note 2
notices 1
novel 2
nursery 2
of 20
off 2
offers 2
often 1
on 5
one 4
other 1
ought 1
out 4
outside 3
over 1
overhears 1
own 1
parents 2
passage 1
people 4
period 1
place 1
playing 1
pod 9
point 1
practises 1
probably 1
prove 1
ratcatcher 1
read 1
realizes 2
recovering 1
remembering 1
rescue 1
response 1
retrieve 1
return 1
returned 2
returns 1
rheumatic 1
right 1
scrub 1
see 2
seeing 1
seen 3
sees 1
sending 1
sent 2
sets 1
sett 3
setts 1
several 1
shaken 1
she 14
similarity 1
since 1
sister 1
slip 2
smoke 1
so 1
someone 1
something 1
stands 1
stays 1
striking 1
summary 1
supposed 1
survive 1
take 2
takes 2
talking 1
tea 1
tell 1
tells 3
that 11
the 57
their 4
them 3
then 1
there 5
they 5
thousands 1
three 1
through 1
time 1
times 1
to 36
toy 1
trip 2
turn 1
turns 1
two 1
unbeknownst 1
uncle 2
under 2
up 1
upset 1
very 1
visits 1
wandered 1
wanders 1
wanting 1
warn 1
were 1
when 5
where 4
which 2
while 1
who 3
will 1
with 5
world 1
writing 1
young 1
