17151926
/m/043jx67
/m/043jx67
Steve Toltz
2007-07
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 24
about 3
account 1
address 1
affair 3
after 7
afterwards 1
again 1
against 1
alive 1
all 4
almost 1
also 3
although 1
always 1
an 4
and 49
angry 1
annoys 1
anonymous 1
another 1
anouk 8
answering 1
anyone 1
apprentice 1
approved 1
are 6
arranges 1
arrested 1
arrival 2
artists 1
as 7
ashes 1
assistance 2
assumes 1
astrid 6
at 2
attractive 1
australia 8
authorities 1
away 1
back 4
based 1
bathroom 1
be 7
beating 1
because 2
become 4
becomes 7
becoming 1
been 6
before 4
behavior 1
being 3
beliefs 1
believes 2
belongings 1
beloved 2
better 1
birth 1
boat 2
body 1
bond 1
book 1
both 1
box 2
brian 1
brokendown 1
brother 3
builds 1
bullies 1
burning 1
burns 1
but 10
buys 1
by 7
caf 1
can 1
cancer 4
car 1
career 1
caroline 8
cell 1
center 1
central 1
ceremony 1
character 1
charge 1
cheating 1
child 1
childhood 2
clean 1
clearly 1
close 1
collects 1
coma 1
comes 4
commits 1
committed 1
company 1
completely 1
constantly 1
continues 1
converse 1
convinced 1
country 2
covers 1
crazy 2
crime 1
criminal 3
cripples 1
criticized 1
curriculum 1
dead 3
deal 1
dealt 1
dean 1
deans 3
dearest 1
decides 3
declares 1
deemed 1
depression 1
desperate 1
despite 1
detailed 1
detention 1
diagnosed 1
diaries 1
die 1
dies 1
discovered 1
discovers 2
discovery 1
do 1
doctor 2
does 3
down 2
during 1
dying 1
each 3
eddie 15
effectively 1
elected 1
else 1
employed 1
ends 2
engaged 1
enjoy 1
enter 1
entire 2
escaping 1
europe 1
events 1
eventually 3
ever 1
every 2
everyone 3
everything 2
exact 1
exboyfriend 1
except 2
existing 1
extremely 1
face 3
fact 1
family 3
famous 1
fat 1
father 3
fear 2
few 1
figures 1
finally 2
financial 1
financially 1
finds 4
fire 1
first 3
five 1
fixed 1
for 15
forced 1
forgotten 1
foster 1
foul 1
four 1
fraction 1
framing 1
fraud 1
friend 1
friendly 2
friends 3
from 9
get 4
gets 1
girlfriend 1
give 1
gives 1
giving 2
go 4
god 2
going 2
gone 1
good 1
great 1
greatest 1
grieving 1
grounds 1
group 1
had 5
happily 1
happy 2
has 17
hated 2
hates 1
haunted 1
have 3
having 3
he 43
head 1
help 1
helped 1
helping 1
helps 1
her 9
hiding 1
high 1
highly 1
him 11
himself 1
hires 2
his 32
home 1
hometown 1
horrific 1
house 2
how 3
idea 4
ideas 1
immigration 1
important 1
impossible 1
imprisoned 1
in 31
incapable 1
incarcerated 1
inferno 1
initially 1
injury 1
instead 2
institution 1
invented 1
is 38
it 16
jasper 21
jobs 1
join 1
jumps 1
junk 1
just 3
kids 2
killed 2
killing 1
know 1
knows 1
labyrinth 1
landslide 1
later 1
leading 1
learns 2
leave 2
leaves 4
leg 1
lie 1
life 5
likes 1
live 1
living 1
local 1
longest 1
loss 1
lottery 2
love 3
loves 1
mad 2
make 3
making 1
man 3
many 2
marries 1
martin 44
maximum 1
may 1
meet 2
meets 3
mental 1
mentally 1
middle 1
millionaire 1
millionaires 1
minister 1
money 2
most 3
mostly 1
mother 6
move 1
moved 1
much 1
multiperspective 1
name 2
narrative 2
nation 1
nearly 1
needs 1
network 1
never 2
newscaster 1
newspapers 1
night 2
no 3
not 4
nothing 1
novel 1
now 2
nowhere 1
of 28
off 3
often 2
on 9
once 1
one 3
opposite 1
original 1
oscar 1
other 2
out 5
overboard 1
own 2
painted 1
painting 1
paintings 1
paparazzi 1
parents 1
paris 3
part 1
past 1
paying 1
people 2
person 3
perspective 2
photograph 1
photographs 1
picked 2
pictures 1
playing 1
poisoning 1
poisons 1
population 1
postcard 1
potts 1
predean 1
pregnancy 1
pregnant 1
present 1
presenting 1
pretending 1
prime 1
prison 3
privacy 1
problems 1
property 1
proposes 1
prostitutes 1
proud 1
puddle 1
pulled 1
purpose 1
put 1
questions 1
quite 1
randomly 1
rather 1
real 2
realizes 3
received 1
recently 1
recommendations 1
refer 1
released 2
remembers 1
renders 1
repeatedly 1
requested 1
respond 1
resume 1
return 1
returning 1
revealed 1
reveals 1
richest 1
right 1
room 1
rotting 1
run 1
running 1
says 1
scatters 1
school 3
search 1
secretly 1
see 1
seems 1
seen 1
selected 1
sent 2
sets 1
setting 1
shambles 1
she 7
should 1
show 1
side 1
sight 1
similar 1
slip 1
smiling 1
smuggled 1
smuggling 1
so 4
some 1
someone 2
son 4
soon 3
speech 1
sports 1
stab 1
stand 1
start 1
starts 2
stepfather 1
storage 1
stored 1
story 3
suggestion 2
suicidal 1
suicide 1
sure 1
survive 1
suspected 1
system 1
tabloids 1
take 3
takes 1
teaches 1
tell 1
telling 2
terminal 1
terms 1
terry 13
thai 1
thailand 1
than 1
that 17
the 63
their 2
them 6
then 1
there 2
these 1
they 8
this 4
three 1
thrown 1
time 3
to 46
together 2
towering 1
town 7
traced 1
trapping 1
tries 2
true 2
trying 1
turn 1
turns 1
two 2
type 1
typical 1
understand 1
undesirable 1
undisclosed 1
unexpectedly 1
unfortunately 1
unknown 2
unstable 1
up 5
upon 2
uses 1
using 2
vandalizes 1
very 3
victory 1
village 1
violent 1
visits 1
vows 1
wanted 1
wants 1
was 3
way 2
wealthy 2
welcome 1
well 3
went 1
what 1
when 7
where 6
which 1
while 3
who 6
whole 2
whom 3
will 3
win 1
winners 1
with 17
woman 1
wont 1
would 3
writing 1
written 1
wrong 1
year 1
years 1
yet 1
