19186304
/m/04lgvfp
/m/04lgvfp
Heinz-Otto Peitgen
1986
a 3
account 1
additional 1
adrien 2
after 1
almost 1
also 1
amusingly 1
and 10
angles 1
benoit 1
benot 1
book 1
books 1
boundaries 1
by 1
cayley 1
chaos 1
classification 1
complex 4
computergraphical 1
contributions 1
critical 1
depth 1
detail 2
discovery 1
discrete 1
discussed 1
douady 2
dynamics 2
eilenberger 1
equations 1
explains 1
external 1
feigenbaum 1
following 1
for 3
formality 1
fractal 1
fractals 2
franke 1
general 2
generation 1
gert 1
gives 1
herbert 1
him 1
his 1
historically 1
hubbard 1
images 1
in 4
includes 1
interesting 1
introduction 1
invited 1
is 1
julia 2
magnetism 1
mandelbrot 5
method 2
named 1
newton 1
newtons 1
of 3
particular 2
personal 1
points 1
polynomials 1
problem 1
problems 1
provide 2
real 1
relating 1
relation 1
renormalization 1
scenario 1
sections 1
set 3
sets 2
shown 1
solved 1
some 1
special 1
starts 1
sullivan 1
system 1
the 11
their 1
to 3
trees 1
unsolved 1
verhulst 1
very 1
volterralotka 1
w 1
which 1
with 1
yanglee 1
zeros 1
