5337827
/m/0dg8v2
/m/0dg8v2
Yuichi Kimura

{"/m/0dwly": "Children's literature"}
a 12
about 2
accuses 1
against 1
agrees 1
all 2
an 2
and 15
angrily 1
another 2
approaching 1
as 5
avalanche 2
barn 2
been 1
before 2
begin 3
being 2
blocking 1
bond 1
both 1
but 3
by 2
can 1
cannot 1
cave 2
cold 1
come 1
common 1
companion 1
companions 1
cross 1
day 1
days 1
death 1
decide 1
defend 1
despite 1
digs 1
distance 1
down 1
during 1
each 2
eat 1
eaten 2
eating 1
emerald 2
end 1
enemies 1
enjoy 1
establish 1
events 1
eventually 2
exhausted 1
face 1
faces 1
fending 1
fighting 1
find 2
finds 1
flock 1
food 1
for 2
forbid 1
forest 2
free 1
friend 2
friendship 4
from 4
gabu 18
giro 2
go 1
goat 3
goats 1
grudge 1
had 2
happily 1
has 2
have 1
he 7
hearing 1
hears 1
him 2
himself 1
his 6
holds 1
hope 1
hoping 1
how 1
however 2
huddle 1
hungry 1
hunt 1
in 5
initially 1
into 1
is 4
it 1
knew 1
knowing 1
later 1
leader 1
learns 1
lost 1
matter 1
meet 2
meeting 1
meets 1
mei 12
memory 2
met 1
minded 1
missing 1
moon 2
morning 1
mountain 1
named 2
natural 1
neither 1
never 1
nevertheless 1
next 2
night 4
no 1
nor 1
not 2
of 4
off 1
offers 1
on 3
one 3
other 2
out 2
pack 5
password 1
persecution 1
plans 1
preceded 1
predisposition 1
preserve 1
previously 1
reach 1
ready 1
realizes 1
recognize 1
refugee 1
regularly 1
relationship 1
rest 1
returns 1
reunite 1
rises 1
river 1
sacrifice 1
saying 1
searching 1
see 1
seeking 1
sees 1
share 1
shelter 1
shouts 1
smell 1
snow 1
snowstorm 1
soon 1
stop 1
storm 2
stormy 2
summit 1
talk 1
taunts 1
that 8
the 26
their 5
them 1
there 1
these 1
they 8
through 2
to 11
together 1
traitor 1
two 3
using 1
views 1
waiting 1
wanders 1
was 1
watching 1
way 1
when 1
where 1
while 1
will 1
wishes 1
wolf 3
wolves 1
words 1
wouldnt 1
