2931176
/m/08dfsf
/m/08dfsf
Ivan Yefremov

about 3
according 1
africa 1
alexander 1
amrita 1
and 4
are 1
beauty 1
brain 1
but 1
call 1
can 1
characters 1
connection 1
contains 1
crone 1
dancer 1
dayaram 1
diamond 1
doctor 1
each 1
end 1
find 2
first 1
from 1
girin 1
go 1
great 1
hidden 1
human 2
in 2
india 1
indian 1
interesting 1
intertwined 1
is 5
italian 1
italians 1
ivan 1
medical 1
meet 1
minerals 1
mysterious 1
novel 1
of 3
one 1
other 1
places 1
plot 1
possibilities 1
psychophysiologist 1
ramamoorty 1
sculptor 1
second 1
setting 1
some 1
soviet 1
storyline 5
storylines 3
studies 1
the 13
their 1
third 1
this 1
tillottama 1
to 2
we 1
which 1
who 2
with 1
