12560147
/m/02wvwlq
/m/02wvwlq
Ian Irvine
2006-01
a 5
able 1
about 1
accident 1
again 1
all 1
alternate 1
an 3
and 6
are 1
attempting 1
away 1
be 1
befriend 1
being 1
book 2
both 1
boy 1
but 1
cast 1
chance 1
cooperate 1
currently 1
dangerous 1
desperate 1
despite 1
died 1
duo 1
during 1
earth 2
encounter 1
ends 1
enemies 1
exist 1
explosion 1
families 1
father 1
for 1
forbidden 1
forced 1
friends 1
gate 1
girl 1
harsh 1
help 1
his 1
home 1
however 1
ilitor 2
imprisoned 1
in 2
inadvertly 1
into 1
involving 1
is 4
it 1
jones 1
known 1
magic 2
manages 1
mariam 1
modernday 1
mother 1
mysterious 1
named 1
new 2
nowhere 1
of 5
only 1
powers 1
problems 1
protect 1
return 1
runcible 3
said 1
see 1
set 1
shady 1
sleeth 1
social 1
sorceress 1
story 1
strange 1
surroundings 1
survive 1
tells 1
that 1
the 8
their 3
them 1
they 1
through 1
to 10
transport 1
twelveyearold 1
two 1
unexpected 1
when 2
where 1
while 1
whose 2
wilds 1
will 1
with 2
world 1
writing 1
young 1
