5926213
/m/0fdwvy
/m/0fdwvy
Robert Ludlum
2007-06-05
20th 1
a 37
ababa 2
abbud 1
able 1
about 3
actually 5
addis 1
affair 1
after 2
airplane 1
alem 2
aljamil 3
all 2
also 2
alsould 2
an 3
and 41
anne 1
another 1
are 3
area 1
arrive 1
arrives 1
arriving 1
as 8
ash 1
ask 1
at 7
attacks 1
attempt 1
away 2
aziz 1
back 9
battle 1
be 5
beach 1
because 1
before 1
beginning 1
behind 1
being 5
believes 1
bites 1
blow 1
board 1
boards 1
body 2
bomb 3
book 1
bourne 30
bournea 1
boxer 1
boy 1
brain 1
bring 1
brings 2
brother 1
bullet 2
burns 1
business 1
buyukada 1
by 15
cab 1
cadre 1
cage 2
call 1
calls 1
can 2
car 2
carbon 1
carlos 1
case 2
catches 1
cave 1
cevik 5
champagne 1
chase 2
chased 1
check 1
church 1
cia 11
cipher 1
connect 1
constitution 1
corner 1
costin 3
country 1
cover 1
cowell 1
cracking 1
crashing 1
created 1
creating 1
culminates 1
dans 1
day 1
dci 1
deactivates 1
deceptions 1
dejen 2
deputy 2
deron 1
detonation 1
detonator 1
device 1
did 1
didnt 2
director 2
discover 1
discovers 1
disguise 5
disulfide 1
diversion 1
djibouti 2
do 1
doctor 1
does 1
doesnt 1
dog 2
done 1
drained 1
drug 1
dujja 3
during 1
easily 1
edor 1
elaborate 1
embalmed 1
end 3
ending 1
ends 2
escape 2
escapes 1
even 2
evoked 1
executed 1
exits 1
explode 1
extract 1
eye 1
f 1
fa 1
face 5
facility 3
fact 1
fadi 30
fake 1
father 1
features 1
feyd 2
feyodovich 1
fictitious 1
fight 1
figures 1
find 5
finding 2
finds 3
fire 1
flooding 1
fluids 1
follow 1
following 1
for 8
framed 1
friend 2
frla 1
from 5
get 4
gets 2
given 1
gives 1
giving 1
go 1
goes 2
going 1
grabs 1
guard 1
gun 1
had 1
happen 1
happened 1
has 1
hatun 1
have 1
having 1
he 16
headquarters 3
heads 1
hearing 1
held 2
helicopter 1
help 1
hiding 1
him 13
hiram 2
hired 2
his 17
hostage 1
hotel 2
house 1
however 2
hummer 2
hurting 1
hytner 2
ibn 1
impostor 2
in 23
including 1
information 1
injured 1
innocent 1
inside 2
intent 1
into 3
introduced 1
is 21
istanbul 1
it 2
its 1
ive 1
ivt 1
jackal 1
jaime 1
jakob 1
jason 1
jaw 1
just 1
karim 7
katya 1
key 1
kill 3
killed 4
kills 3
knife 1
knocking 1
know 1
la 1
landing 1
later 2
leads 1
learn 1
lemontov 1
lerner 1
lev 1
likeness 1
limousine 1
lindros 9
little 1
live 1
located 1
london 1
long 1
look 1
looks 1
lord 1
lot 1
love 1
make 1
makes 1
makeup 1
man 6
managed 1
martin 3
matthew 1
meanwhile 2
meet 2
memories 2
memory 1
men 3
merely 1
mess 1
messenger 1
miniaturization 1
miran 1
missing 1
mission 1
mistress 1
mole 2
moment 1
moore 1
more 1
mortuary 1
motorcycle 1
move 2
munich 1
muta 3
named 3
natural 1
nemesis 1
nesim 1
new 4
northeast 1
not 1
number 1
odessa 1
of 15
off 1
office 3
officer 1
officers 1
old 3
oleksandr 1
omar 4
on 11
once 1
one 3
open 1
opening 1
or 1
orders 1
organization 1
other 1
out 10
own 1
peau 1
people 2
person 1
pictures 1
pilot 2
pipes 1
place 1
places 1
plane 1
planted 1
played 1
plzdrada 1
poses 1
posing 1
prison 2
prisoner 2
prisoners 1
props 1
put 1
radiation 1
ras 2
real 1
realizes 3
receives 1
recommended 1
redone 1
referring 1
relocate 1
rescue 1
restoration 1
rigged 1
room 3
run 1
ruse 1
safe 1
safety 1
same 1
sarah 1
says 1
second 2
secret 1
sees 2
sends 2
senior 1
sent 1
service 1
set 1
sets 1
shah 1
she 3
shoot 1
shot 1
showing 1
silver 1
sister 2
skorpion 2
slips 1
smells 1
socket 1
some 3
soraya 7
source 1
specialist 1
sprays 1
stabbing 1
starting 1
starts 1
steals 1
step 1
still 1
stopped 1
street 1
streets 1
struggle 1
sufficiently 1
suite 1
sunderland 4
supremacists 1
surgery 1
surround 1
suspects 1
suspiciously 1
take 1
takes 1
talk 1
tells 2
terrorists 4
that 19
the 72
their 1
them 2
then 7
there 6
these 1
they 15
things 3
thinking 2
thinks 1
this 4
throat 1
through 1
tim 2
time 3
timer 2
to 50
tomorrow 1
took 1
tortured 1
torturing 2
town 1
tracking 1
trademark 1
trahison 1
traitor 1
truck 1
true 1
truth 1
trying 1
tuesday 1
turkey 1
turns 1
two 1
tyrone 1
unaware 1
under 1
underground 2
unfortunately 1
unrecognizable 1
until 1
untrue 1
unwittingly 1
up 8
upon 1
use 1
uses 1
using 1
veintrop 5
very 1
victims 1
vladovich 1
waited 1
waiting 1
walk 1
was 9
wasnt 1
water 1
way 2
we 1
well 1
what 1
when 1
where 3
which 3
while 2
who 2
wife 2
will 1
with 13
word 1
work 1
worker 1
working 1
wreck 1
yevgeny 1
