6864834
/m/0gt72n
/m/0gt72n
Don Winslow
2005
{"/m/01jfsb": "Thriller", "/m/0lsxr": "Crime Fiction"}
175 1
a 2
age 1
agent 2
an 1
and 2
angel 1
are 1
arrest 1
art 2
as 3
assassinated 1
aviles 1
barrera 2
before 1
begins 2
begun 1
brothers 1
burn 1
burning 1
but 1
career 2
cartel 1
character 1
cia 1
coming 1
condor 1
credit 1
dea 1
death 1
don 1
done 1
drug 2
during 1
elder 1
end 1
fields 1
for 1
friendship 1
from 1
giving 1
has 1
he 1
heroin 1
his 2
in 2
into 2
is 2
isnt 1
it 3
just 1
keller 5
leader 1
leads 1
like 1
looks 1
lord 2
main 2
meaning 1
mexican 1
might 1
miguel 1
modern 1
nam 1
new 1
novel 1
of 6
operation 2
operative 1
opium 1
orange 1
over 1
patron 1
pedro 1
phoenix 2
poppy 1
preference 1
program 1
referred 1
sets 1
similarities 1
sinaloa 3
so 1
state 1
tells 1
that 2
the 15
then 1
there 1
this 1
though 1
to 5
traffickers 1
unclevalued 1
until 1
up 1
us 2
use 1
veteran 1
viet 1
watching 1
way 1
while 1
with 2
work 1
works 1
