5166492
/m/0d5x08
/m/0d5x08
Jack Vance

a 21
abducted 1
abject 1
able 1
about 2
above 1
accept 1
accordingly 1
acknowledging 1
addels 1
advisor 1
affections 1
after 2
aid 1
airboat 1
all 1
along 1
alphanor 1
alusz 2
ambition 1
among 1
an 7
and 16
announcing 1
another 1
appearance 1
are 2
article 3
as 8
asm 3
assistance 1
at 4
attended 1
attracted 1
authors 1
balance 1
be 2
beautiful 1
been 1
before 1
beginning 1
bitterly 1
blame 1
bonds 1
born 1
boy 1
brainwashed 1
breaks 1
bred 1
breeding 1
bribing 1
brief 1
built 1
but 4
buys 2
by 6
calls 1
can 1
cannot 2
care 1
career 1
check 1
child 1
children 1
choir 1
choral 1
civilization 1
classmate 1
closes 1
cold 1
comfort 1
committing 1
company 1
concerning 1
contact 1
copies 1
copy 1
correctly 1
cosmopolis 1
create 1
criminal 1
critical 1
custody 1
day 1
defrauding 1
demon 4
direct 1
discovers 1
disgusting 1
disturbing 1
do 1
doom 1
doubt 1
down 1
drusilla 4
drusillas 2
earth 1
eccentric 1
end 2
ends 1
enemy 1
engineer 1
enjoyed 1
ensures 1
entire 2
entrusts 1
eperjetokay 1
epic 1
eridu 1
erratic 1
error 1
eventually 1
exchange 2
execution 2
extent 1
exterminate 1
extremely 2
failing 1
failure 1
falls 1
falushe 13
falushes 2
feels 1
feet 1
female 1
filschner 3
filschners 1
finally 2
financial 1
find 1
firstborn 1
flattering 1
follows 1
for 9
forced 1
forthcoming 1
fortunately 1
frees 2
from 3
further 1
future 1
gaining 1
gersen 11
gersens 1
girl 1
girls 1
given 1
going 1
guessing 1
guests 1
guildmandated 1
guise 1
habits 1
had 5
has 5
hastens 1
having 1
he 15
heard 1
her 1
herself 1
him 6
himself 1
hiring 1
his 15
hovering 1
how 1
however 1
identifies 1
implanted 1
in 10
including 2
information 1
informs 1
inhabitants 2
instead 1
intent 1
interchange 1
into 2
invest 1
invitation 1
invitees 1
iphigenia 2
is 10
it 1
its 1
jehan 1
jheral 8
job 1
kakarsis 2
kidnapped 1
kidnapping 1
kirth 1
knew 1
known 1
later 3
lead 1
learns 2
least 1
leave 1
legendary 1
life 1
lifelong 1
link 1
locates 1
loses 1
love 1
loving 1
lurid 1
mad 1
made 1
magazine 1
many 1
mature 1
meeting 1
meets 1
men 1
mentor 1
months 1
more 3
most 3
narrows 1
navarth 8
navarths 2
nearing 1
need 2
netherlands 1
new 1
newspaper 1
no 2
not 2
nothing 1
notices 1
novel 1
nurture 1
obsession 1
of 21
oldest 1
on 4
or 1
original 1
others 2
out 1
painless 1
paints 1
palace 4
parthenogenically 1
party 1
pay 2
people 1
plain 1
plainly 1
planet 2
planets 1
poet 1
poetry 1
poisons 1
policy 1
possibilities 1
practice 1
previous 1
prey 1
pricing 1
prince 3
princes 1
proceeding 1
proceeds 1
program 2
prominent 1
protect 1
pursue 1
pursuit 1
read 1
realizes 1
relationship 3
remaining 1
repellent 1
reporter 1
rescued 2
resembles 1
resold 1
respected 1
return 1
ringing 1
rolingshaven 1
ruler 1
sarkovy 3
sarkoy 1
satisfy 1
school 1
sea 1
secures 1
sees 1
selling 1
series 1
servants 1
share 1
she 7
shipload 1
shortlived 1
singleminded 1
slave 1
slaves 1
society 1
sold 1
some 3
staff 1
still 1
story 1
subsequently 1
succeeded 1
suicide 1
supreme 1
surviving 1
swift 1
swindle 1
taxes 1
teased 1
telephone 2
ten 1
terms 1
that 11
the 43
their 2
there 2
they 4
this 3
though 1
thousand 1
three 1
through 1
throw 1
time 1
tinzy 2
to 29
trail 1
transported 1
tribute 1
tries 1
turned 1
two 3
understand 1
unflattering 1
various 1
variously 1
venefice 1
vengeance 1
violating 1
viole 2
visited 1
visiting 1
visits 1
vogel 1
want 1
was 5
way 1
wayles 3
wealthy 1
when 1
where 1
which 1
while 1
who 6
whom 3
why 1
will 2
with 9
woman 1
work 1
writing 1
years 2
yet 1
young 3
youth 1
zan 1
zu 1
