2854751
/m/087136
/m/087136
Tom Stoppard


130 1
180s 1
a 7
about 1
academic 1
accused 1
after 1
also 1
american 1
an 1
and 5
anish 2
answers 1
artist 1
at 1
attentions 1
became 1
been 1
before 1
book 1
bravado 1
british 2
but 3
by 2
chase 1
classical 1
comes 1
communists 1
convinces 1
crewe 1
dashing 1
died 2
dimwitted 1
discover 1
done 1
eldon 1
eleanor 3
end 1
englishman 1
erotic 1
father 1
fends 1
flora 6
for 4
gandhi 1
girl 1
goose 1
grave 1
has 1
health 1
her 4
hides 1
him 2
his 1
hobnobbed 1
ill 1
in 6
india 4
indian 2
is 4
knowledge 1
life 1
little 1
looking 1
lovers 1
march 1
married 1
meeting 1
met 1
modeled 1
modern 1
modigliani 1
more 1
muse 1
nirad 4
nymph 1
obscenity 1
of 6
off 2
on 1
out 1
painted 1
painting 2
partly 2
path 1
pike 1
poet 2
portrait 1
racy 1
raj 1
realism 1
reveals 1
salt 1
scholar 1
scion 1
seeks 1
sending 1
severely 1
she 6
shows 1
sister 1
son 1
soon 1
staunch 1
style 2
symbolism 1
that 2
the 13
thoroughly 1
through 1
to 4
tory 1
tracing 1
travels 1
truth 1
tuberculosis 1
welcoming 1
were 1
western 1
while 1
who 3
wild 1
with 2
year 1
younger 1
