2546296
/m/07m75v
/m/07m75v
Stephen Baxter
1993-12-03
50 1
6 1
a 16
ability 1
about 1
accepted 2
actually 1
adda 5
administrator 1
adults 1
advisor 1
after 2
air 2
allows 1
along 1
also 1
an 1
ancestors 1
ancient 1
and 13
animals 1
apparent 1
are 3
as 6
attack 2
be 1
becomes 1
begins 1
being 2
belief 1
blocks 1
board 1
both 1
brother 1
building 1
but 1
by 6
byza 1
called 1
calls 1
caused 2
centre 1
chance 1
changes 1
characters 3
city 5
classes 1
combination 1
common 1
constructed 1
could 1
created 1
criss 2
destroy 2
did 1
down 1
due 1
dura 5
during 2
economy 1
eldest 1
encounter 1
escape 1
etc 1
eventual 1
experience 1
farm 1
farr 5
fellow 1
field 1
find 2
flux 1
food 3
for 5
forest 1
friends 1
from 2
fuel 1
functioning 1
glitch 1
glitchan 1
go 1
good 2
group 2
harvested 1
head 1
heart 1
her 2
herd 1
here 1
high 1
him 1
hork 2
hospital 2
human 3
humanity 1
humans 7
importantly 1
in 6
indigenous 1
inhabitable 1
injured 1
inside 1
instabilities 1
instability 2
into 2
is 5
itself 1
just 1
killed 2
labor 1
left 2
lines 1
live 3
lose 1
made 1
magnetic 1
main 2
makes 1
man 2
mantle 2
massive 1
meet 1
miner 1
mixxax 2
more 1
muub 2
net 1
nether 1
next 1
not 1
novel 2
of 20
older 1
one 1
only 1
or 1
originally 2
other 3
parz 8
pay 1
philas 1
physician 1
pig 1
pigs 1
plate 1
plot 1
points 1
possibly 1
pregnant 1
race 1
realise 1
retrieve 1
ropes 1
rotationis 1
rulers 1
scientist 1
seeing 1
several 2
should 1
sold 2
son 1
sow 1
specially 1
star 9
supposedly 1
surf 1
survival 1
teaches 1
that 1
the 41
their 2
there 1
this 2
to 13
toba 2
together 1
top 1
travel 1
treatment 1
trees 1
try 1
two 1
ultimately 1
underbelly 1
up 1
upper 1
use 1
using 1
various 1
was 2
we 1
weapons 1
when 1
where 3
which 1
while 1
whiles 1
whilst 1
who 1
wife 1
with 2
wooden 1
work 1
xeelee 3
young 1
