1335198
/m/04tmyf
/m/04tmyf
Tobias Smollett
1751
{"/m/05hgj": "Novel", "/m/0g_jj": "Picaresque novel"}
a 7
actor 1
adventure 1
adventures 1
all 1
also 2
amuses 1
amusing 1
an 2
and 7
another 1
as 1
at 3
attached 1
bankruptcy 1
beginning 1
beloved 1
boy 1
brother 1
by 5
cadwallader 1
caricatured 1
chapter 1
character 1
characters 1
commodore 2
country 1
crabtree 1
create 1
creatures 1
cruel 1
cruelty 1
david 1
debauchery 1
degenerate 1
describing 1
dickens 1
education 1
emilia 1
enemies 1
every 1
expectations 1
father 2
features 1
fielding 1
final 1
fitzroy 1
fleet 1
for 2
former 1
fortune 1
france 1
friend 1
garrick 1
garrison 1
gentleman 1
great 1
greatly 1
greed 1
gullible 1
hated 1
hawser 3
he 1
helped 1
henry 2
himself 1
his 9
house 1
human 2
ignored 1
in 2
independent 1
indifferent 1
ingenious 1
inside 1
interesting 1
is 6
jailing 1
jokes 1
journey 1
lady 1
lee 1
lifestyle 1
lives 1
long 1
many 1
marriage 1
memoirs 1
misanthrope 1
misogynist 1
model 1
most 2
mother 1
naive 1
new 1
notably 2
novel 4
of 8
old 2
on 2
oxford 1
peregrine 4
pickle 1
playing 1
possibly 1
provide 1
quality 1
raised 1
rejected 1
repentance 1
satire 1
scope 1
seaman 1
series 1
several 1
shipmates 1
smollett 2
story 1
stupidity 1
succeeding 1
supposedly 1
the 12
there 1
to 5
trunnion 4
typically 1
unexpected 1
upbringing 1
very 1
was 1
wemmick 1
who 3
with 2
written 1
young 1
