4339268
/m/0bxyt2
/m/0bxyt2
Wu Han


161 1
a 7
abuses 1
adapted 1
after 1
an 4
and 3
article 2
as 2
at 1
audience 1
beijing 2
but 2
by 3
career 1
carries 1
complaints 1
corruption 1
criticism 1
criticizes 1
criticizing 1
dies 1
directly 1
dismisses 1
dynasty 2
efficient 1
emperor 6
expense 1
fei 1
first 1
focused 1
for 2
from 1
government 1
hai 4
han 2
he 2
hero 1
his 2
historian 1
honest 1
imperial 1
imprisoned 1
in 4
initially 1
into 1
is 3
it 2
later 1
liu 1
magistrate 1
mao 1
mianzhi 1
ming 2
minister 1
municipal 1
name 1
of 3
offended 1
office 2
official 1
officials 1
on 1
opera 1
other 1
pen 1
people 1
performed 1
perpetuated 1
play 4
politician 1
portraying 1
portrays 1
praised 1
published 1
requests 1
restored 1
rui 1
s 1
scholar 1
so 1
song 1
supporter 1
that 1
the 16
then 1
to 2
tolerating 1
tragedy 1
under 1
was 5
which 2
who 5
with 1
wrote 2
wu 4
yue 1
zedong 1
