9648004
/m/02pn130
/m/02pn130
Jim Butcher
2001-01-01
a 15
about 2
adviser 1
after 2
again 1
agent 1
agents 2
allies 1
alphas 1
an 2
and 19
apartment 1
archangels 1
are 6
around 1
arrests 3
arrivesso 1
as 1
asks 2
at 2
attacked 1
be 4
because 1
become 1
before 3
behind 1
belts 2
bestial 1
biker 1
body 1
bums 1
burn 1
but 4
by 3
calls 1
can 4
capture 1
captured 1
capturing 1
cells 1
change 2
changes 1
chaunzaggoroth 1
check 1
chicago 2
circle 2
circles 2
confrontation 1
connected 1
consult 1
contain 2
containment 1
control 1
could 1
create 1
custody 1
dead 1
delaney 2
demigods 1
demon 1
desk 1
desperate 1
did 1
die 1
do 1
door 1
draw 1
dresden 21
drives 1
during 1
entities 1
escape 1
escapes 1
estate 1
evacuates 1
events 1
exchange 1
exchanging 1
exclusive 1
family 1
fbi 5
fianc 1
follows 1
for 4
form 1
found 2
frees 2
from 3
front 1
gang 2
general 1
generally 1
get 3
gets 1
goes 1
group 1
had 1
harley 4
harris 1
he 4
head 1
helped 1
henchman 1
her 3
hexenwolves 4
him 4
hire 1
his 7
holding 1
homicide 1
how 1
human 2
ignoring 1
in 11
incredibly 1
information 3
inherited 1
innocent 1
into 4
is 6
jails 1
johnnie 1
karrin 1
kill 1
killed 1
killings 1
kim 2
know 1
lead 1
leader 1
learning 1
learns 1
left 1
loupgarou 1
lt 2
lycanthropes 1
macfinn 14
magical 2
major 1
marcone 8
might 1
minds 1
moon 2
moonrise 1
more 1
murder 1
murders 2
murphy 6
must 1
name 1
near 1
never 1
next 1
northwest 2
not 1
now 1
of 7
off 1
offers 1
office 1
on 5
one 3
only 1
or 1
order 1
out 1
pack 1
packleader 1
parker 1
part 1
passage 1
paw 1
pd 2
people 1
pile 1
pit 1
police 2
powerful 2
prepared 1
principle 1
prints 1
project 1
protection 1
question 1
races 1
refuses 1
rented 1
rescued 1
returns 1
revealed 1
ride 1
rises 2
save 1
says 1
search 1
searching 1
security 1
sergeant 1
set 1
shape 1
shot 1
shows 1
shredded 1
silver 1
slaughtering 1
sneaks 1
something 1
staff 1
station 2
storm 1
streetwolves 4
such 1
summoning 1
summons 1
susan 2
suspects 1
takes 1
talents 1
teenage 1
tells 1
tera 5
that 6
the 27
their 4
them 2
these 1
they 3
thoughwhere 1
three 1
thrown 1
tip 1
to 17
transformed 1
unscathed 1
unsolved 1
up 1
used 3
van 1
want 1
warnings 1
was 1
way 1
werewolf 1
werewolves 1
west 3
which 1
while 1
who 1
will 1
with 2
withholds 1
wolf 2
wolfish 1
