5979692
/m/0fhwcc
/m/0fhwcc
Len Deighton
1983
180s 1
a 6
after 1
agent 2
agents 1
ago 1
all 1
also 1
american 1
among 1
amount 1
an 2
and 6
any 1
around 1
assist 1
at 2
be 5
before 1
behind 2
berlin 2
bernard 2
betrayed 1
brahms 6
bret 1
britain 1
built 1
but 1
by 2
captured 1
career 1
central 1
clearly 1
close 2
codenamed 1
colleagues 1
come 1
confronted 2
could 4
crucial 1
cruyer 1
curtain 1
decides 1
defected 1
demanding 1
desk 1
despises 1
dicky 1
directorgeneral 1
early 1
east 2
entire 1
escape 1
even 2
evidence 1
fact 1
field 2
fiona 1
former 1
four 6
frank 1
germany 1
had 2
harrington 1
has 1
he 3
head 1
highlyplaced 1
himself 2
his 8
in 3
incompetent 1
inordinate 1
intelligence 1
iron 1
is 8
it 6
kgb 1
last 1
life 1
london 2
member 1
mission 1
moment 1
most 2
nearly 1
now 1
of 8
officer 1
on 1
once 1
one 1
operation 1
or 1
out 2
panic 1
passage 1
place 1
planted 1
prove 1
reliable 1
rensselaer 1
rescue 1
rezident 1
ripple 1
safe 1
samson 5
saved 1
send 1
sends 1
senior 1
sets 1
should 1
sis 1
someone 1
spending 1
staff 1
subsequently 1
supervisor 1
suspicions 1
tasked 1
that 2
the 18
there 1
through 1
time 2
to 9
top 1
traitor 2
travels 1
treachery 1
twenty 1
undeniable 1
undertake 1
unit 1
urgently 1
valuable 1
wants 1
was 1
wellfounded 1
west 2
when 1
who 4
whom 1
wife 2
with 2
work 1
working 1
years 1
