7613180
/m/0266rpn
/m/0266rpn
Richard Powers
2006
a 7
accident 2
acts 1
an 2
and 2
anonymous 1
are 1
armed 1
as 1
attempts 1
back 1
being 1
believes 1
brain 1
brother 1
but 1
by 2
capgras 1
case 2
cognitive 1
coma 1
condition 1
contacts 1
delusion 1
describing 1
discovers 1
disorders 1
doubles 1
eagerly 1
emerges 1
even 1
famous 1
flips 1
for 1
from 2
gerald 1
happened 1
he 2
head 1
her 2
his 7
histories 1
hometown 1
impostor 1
impostors 1
in 3
inexplicable 1
injury 1
investigates 1
is 1
just 1
karin 2
kin 1
learn 1
left 1
life 1
like 1
looks 1
mark 6
meanwhile 1
near 1
nearfatal 1
nebraska 1
neurologist 1
night 2
note 1
nurse 1
of 3
older 1
on 2
one 1
only 2
or 1
own 1
people 1
protracted 1
rare 1
really 1
recognize 1
recognized 1
refusal 1
reluctantly 1
remote 1
returns 1
road 1
schluter 1
sense 1
shattered 1
sister 2
slowly 1
sounds 1
syndrome 1
that 2
the 3
their 1
this 1
to 4
traumatic 1
truck 1
twentysevenyearold 1
undermines 1
weber 2
what 2
when 1
who 1
winter 1
with 1
witness 1
woman 1
