21813150
/m/05p3zzz
/m/05p3zzz
Trudi Canavan
2009-02-23
{"/m/01hmnh": "Fantasy"}
10 1
a 27
able 1
abolishing 1
about 3
accepted 1
achieved 1
acres 1
against 1
all 1
allies 1
allowing 1
also 2
an 4
and 39
another 3
any 1
apart 1
apprentice 3
apprenticeship 1
are 7
arent 1
army 2
around 1
arriving 1
arvice 4
as 4
ashaki 1
asleep 1
assassinated 1
assistant 1
at 4
attack 2
attacked 1
avaria 2
away 1
badly 1
bandages 1
be 2
beats 1
beauty 1
become 2
becomes 3
bed 1
been 1
before 2
begun 1
behind 1
being 2
best 2
birth 1
blowing 1
body 1
born 1
both 1
branded 1
breaks 1
but 3
by 5
call 1
called 2
capital 1
centuries 1
certain 1
children 1
city 1
clear 1
closest 1
clothes 1
come 2
comes 1
confesses 1
conflict 1
corner 1
countries 1
country 3
dakon 9
day 1
death 1
decide 2
declare 1
delighted 1
deserters 1
despite 1
determined 1
develops 1
discovering 1
discovery 2
dislike 3
dislikes 1
dissection 1
distressed 1
during 1
each 1
elyne 2
empire 1
enabling 1
energy 1
entire 1
escape 1
especially 1
establishment 1
ever 1
exapprentice 1
except 1
exciting 1
fact 1
fall 2
family 1
famous 1
father 6
fathers 1
fellow 1
female 1
fertile 1
fight 1
figures 1
filled 2
find 4
fine 1
first 1
follow 1
footsteps 1
for 9
force 1
forced 3
found 2
founds 1
friend 3
friends 2
from 3
frustration 1
full 1
gathered 1
get 1
give 1
go 1
got 1
grandfather 1
graves 1
great 1
group 1
groups 1
guild 5
had 3
hanara 4
harming 1
has 4
have 1
he 3
heal 2
healer 3
healers 2
healing 4
hear 3
heir 1
help 1
her 27
herself 1
hide 1
high 1
him 6
himself 1
his 10
holding 1
home 1
homosexual 1
hoped 1
horses 1
hours 1
house 2
housing 1
how 1
however 1
hurt 1
husband 1
ichani 1
idea 1
imardin 2
in 17
infertile 2
influence 1
intentions 1
into 1
invading 2
invite 1
is 31
it 2
jayan 9
jewels 1
join 1
just 1
karicho 3
kendaria 1
kept 1
kill 1
killed 1
kills 1
kind 1
king 1
knowing 1
kyralia 5
kyralian 3
kyralians 2
kyraliansachakan 1
lad 1
lady 1
land 3
later 1
leader 1
leadership 1
learn 1
leaves 1
ley 2
life 1
living 1
long 1
look 1
lord 5
lose 1
love 1
loyal 1
made 1
magic 10
magical 2
magician 7
magicians 4
makes 1
male 1
man 1
mandryn 1
mansion 1
many 2
marked 1
marry 1
meanwhile 1
mental 1
mind 1
mixed 1
more 1
morning 1
mother 1
mountains 1
much 2
must 1
narvelan 1
natural 2
near 1
nearby 1
neighbouring 2
neutral 1
never 3
new 2
next 1
no 1
noble 1
none 1
not 1
now 3
of 22
offers 1
on 3
once 1
one 3
opens 1
opportunities 1
or 2
order 1
other 3
others 1
out 4
outcasts 1
outside 1
over 1
own 2
pain 1
parents 1
part 1
party 1
peace 1
people 2
plot 1
premises 1
prinan 1
problem 1
process 2
produced 1
race 1
rather 1
readily 1
realise 1
reapply 1
reflects 1
refuge 1
regular 1
relieved 1
remote 1
removes 1
renders 1
respected 1
rest 1
retire 1
return 1
revealed 1
revolves 1
river 1
room 1
ruins 1
rule 1
rulers 1
sachaka 4
sachakan 7
sachakans 2
safe 1
same 1
saves 1
second 1
secret 1
secretly 1
see 2
selfdiscipline 1
send 1
separated 1
servant 1
servants 1
serves 1
set 1
sets 1
sharing 1
she 15
shopping 1
shows 1
side 1
sisterinlaw 1
skills 1
slaughtered 1
slave 2
slavery 1
slaves 1
so 2
social 1
society 2
some 1
something 1
somewhat 1
son 2
soon 1
standing 1
stara 6
staying 2
still 1
stone 1
stop 1
storestone 1
study 1
subplot 1
takado 7
take 2
takes 1
taking 1
teaches 1
technique 1
tell 1
tessia 18
tessias 1
than 1
that 3
the 51
their 4
them 5
themselves 1
then 3
there 5
they 6
thing 1
third 1
this 2
though 1
through 1
to 41
together 2
town 2
traitor 1
traitors 3
treats 1
tries 1
trips 1
unintentionally 1
up 3
upon 3
use 1
village 3
visiting 3
wary 1
was 2
way 2
when 3
which 5
while 3
who 5
will 2
with 12
without 1
wives 2
woman 2
women 1
world 2
would 1
wounded 1
years 2
yet 2
