160046
/m/01548m
/m/01548m
Nick Hornby
1995
a 4
about 1
act 1
aesthetics 1
also 1
and 5
anything 1
are 1
around 1
at 1
back 1
barry 1
breakups 1
bring 1
by 1
career 1
cemented 1
championship 1
commitment 2
constructing 1
continuing 1
death 2
demonstrates 1
desires 1
dick 1
disc 1
discussing 1
emotion 1
employees 1
eventually 1
failed 1
father 1
fear 2
five 1
fleming 1
for 1
former 1
free 1
getting 1
girlfriend 1
girlfriends 1
has 1
him 2
his 9
in 3
is 2
jockey 1
just 1
knowledge 1
launch 1
laura 3
left 1
life 1
lists 1
london 1
makes 1
memorable 1
midthirties 1
mixtape 1
moments 1
most 1
music 1
named 1
new 2
of 10
on 1
owner 1
purposefulness 1
pursue 1
realizing 1
recalling 1
record 2
reexamination 1
relationship 1
relationships 1
responsible 1
result 1
revival 1
rob 6
sets 1
shop 1
spend 1
store 1
symbolic 1
tendency 1
that 2
the 6
their 3
those 1
to 4
together 1
topfive 1
touch 1
two 1
vinyl 1
whose 1
with 1
women 1
