42906
/m/0bsm5
/m/0bsm5
Anne Rice
1988-10
{"/m/03npn": "Horror", "/m/0fdjb": "Supernatural", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/039vk": "Gothic fiction"}
0 1
a 19
abducted 1
able 1
about 2
absence 1
according 1
admit 1
advice 1
affect 1
afloat 1
after 1
afterward 2
again 1
ago 1
akasha 23
alex 1
all 6
allows 1
already 1
also 3
although 1
amel 2
an 4
and 40
angels 1
angry 1
anne 1
answered 1
anything 1
appear 1
are 14
armand 3
around 1
as 9
asks 1
assassinate 1
assemble 1
assembled 1
assistance 1
at 4
attacks 1
attempting 1
attending 1
awakened 2
back 3
band 1
be 1
because 1
become 2
becoming 1
been 4
before 2
begins 1
being 1
blood 4
bloodthirsty 2
bodies 1
body 2
books 1
boy 1
brain 1
brief 1
bring 1
but 3
by 10
call 1
called 1
calls 1
can 1
cannot 1
cast 1
caught 1
cell 1
chance 2
chapters 2
characters 1
chief 1
coffins 1
collectively 1
combines 1
combustion 1
comes 1
communicate 1
compound 4
concert 2
condemns 1
confirming 1
confronts 1
congregate 1
connected 1
consort 1
conspirators 1
consumes 1
continually 1
cookie 1
could 1
couple 1
court 1
creation 1
culture 1
curses 1
damned 3
daniel 2
darkens 1
daughter 1
david 1
days 1
deals 1
decline 1
demand 1
depart 1
descendants 2
desert 1
desire 1
destroy 3
destroyed 1
destroys 1
die 1
different 3
directly 1
dreams 1
drink 1
during 2
dying 2
each 1
eden 1
egypt 2
end 1
enkil 4
ensnare 1
enters 1
eric 1
escapes 1
establish 1
ethnicity 1
eventually 2
every 1
evil 1
exorcise 1
experiment 1
explains 1
exposed 1
extreme 1
eyes 2
fact 2
family 3
favors 1
feel 1
filling 1
find 1
fire 1
first 1
five 1
flee 1
flesh 1
florida 1
follow 1
follows 1
for 3
forest 1
four 1
from 3
further 1
gabrielle 2
gain 1
gathered 1
glee 1
go 1
goddess 1
great 3
group 1
guilty 1
had 2
harms 1
has 3
have 1
having 2
he 1
head 1
heart 1
help 4
her 17
him 1
his 8
home 2
house 1
however 2
human 1
humanity 1
husband 1
if 2
in 19
incarcerated 1
incensed 1
inciting 1
includes 1
including 1
inflicts 1
informs 1
injured 1
inspired 1
interview 1
into 7
invisible 2
is 10
island 2
it 1
its 1
itself 1
jesse 2
joined 1
keeper 1
kemet 1
khayman 7
kill 2
killing 1
kills 1
king 5
know 1
knowledge 2
known 1
lack 1
land 1
larry 1
later 1
leave 1
legend 1
lestat 7
lie 1
life 1
line 1
live 1
lives 1
locations 1
london 1
loses 1
louis 4
made 1
mael 1
maharet 13
making 1
man 1
many 2
marius 4
maternal 1
means 1
mekare 9
member 1
men 2
merely 1
monarchs 1
mortal 1
mortally 1
mortals 1
mother 1
mountains 1
music 2
mutilation 1
names 1
near 1
need 1
new 4
night 2
not 1
novel 1
of 35
offend 1
offer 1
offers 1
old 1
on 4
one 3
only 2
oppressed 1
or 2
order 3
orders 2
origins 1
other 2
out 1
over 2
pandora 2
part 7
people 2
percent 1
period 2
person 1
place 2
plans 2
plots 1
policies 1
power 1
powerful 2
preegyptian 1
pregnant 1
present 2
previous 1
progeny 1
prove 1
prudently 1
pulls 1
punished 1
put 1
queen 10
race 1
rape 1
rather 1
rebellious 1
recover 1
redhaired 2
refuse 2
region 1
relative 1
religion 1
remaining 1
reporter 1
represents 1
rescue 1
rescuers 1
resort 1
result 1
returns 1
reunited 1
revealed 1
rice 1
rise 1
rock 2
royal 1
rule 1
same 1
santino 3
saves 1
saving 1
secret 1
secretly 1
see 1
sees 1
separate 3
series 1
set 1
several 4
severing 1
share 1
she 4
shows 1
simple 1
sister 1
sisters 1
six 1
skin 1
so 1
soldiers 1
sonoma 3
soul 1
source 2
spirit 6
spirits 2
spontaneous 1
stead 1
steward 1
story 3
such 1
sunlight 1
taken 1
takes 4
talamasca 1
talbot 2
tale 1
telepathic 1
tells 2
that 7
the 88
their 7
them 7
themselves 1
then 4
there 3
thereby 1
these 1
they 14
thief 1
things 1
thirst 1
this 4
thousand 1
thousands 1
three 2
thus 1
time 1
to 24
together 1
told 1
tongue 1
too 1
torment 1
tormenting 1
tough 1
transforming 1
turned 1
turns 1
twin 1
twins 3
two 8
unhappy 1
unify 1
unnamed 1
unwilling 1
up 1
use 1
vampire 4
vampires 17
various 1
village 1
visit 1
watch 1
water 1
way 1
ways 1
weakest 1
were 1
what 2
when 3
where 1
which 5
while 3
whilst 1
who 8
whose 1
will 4
witches 12
with 10
women 2
words 1
world 6
worship 1
would 2
years 2
young 1
