23013576
/m/064mk92
/m/064mk92
Cecily von Ziegesar
2009-11-01
{"/m/03mfnf": "Young adult literature"}
a 11
about 1
after 2
again 1
agree 1
along 1
an 1
and 13
are 1
art 2
at 2
attracted 1
back 1
bags 1
based 2
basic 2
becoming 1
bosley 1
bradon 1
brandon 6
break 2
breaks 1
brett 1
brianna 1
by 2
cafe 1
callie 4
camera 1
camp 1
camping 1
can 1
changes 1
christine 1
classes 1
coming 1
commencing 1
conned 1
contact 1
course 1
days 1
dean 2
did 1
do 2
dorm 1
dr 1
drawing 2
dresden 2
due 2
dunderdorf 1
during 2
easy 1
effect 1
electricity 1
else 1
encouraged 1
end 1
ends 3
essentials 1
everyone 2
exactly 1
experiment 1
few 1
find 1
finds 1
fire 1
first 1
food 1
for 2
found 1
fourweek 1
friend 1
from 4
gathering 1
get 1
gets 1
girlfriend 1
girls 2
goal 1
going 3
has 1
having 1
he 5
heath 6
hellie 2
help 1
her 3
herself 1
him 1
his 4
however 1
hunting 1
in 3
independent 2
information 1
instead 2
intern 2
into 2
is 6
isaac 1
isla 1
issac 1
it 3
italian 1
jan 2
january 1
jenny 1
joining 1
junior 1
just 1
kissing 1
leaves 1
leslie 1
like 1
live 1
look 1
looks 1
lost 1
love 4
man 1
manual 1
more 2
most 2
motion 1
needing 1
new 4
night 1
no 3
not 3
notes 1
of 9
on 7
one 1
options 1
originally 1
other 2
outside 2
over 1
own 2
paid 1
party 1
people 2
permission 1
picture 1
plan 2
plans 1
point 1
previous 1
project 9
projects 2
promotion 1
promptly 1
psychology 1
quitting 1
research 1
returned 1
returning 1
room 1
saw 1
sebastian 1
selected 1
semester 2
seniors 1
sexy 1
she 3
sister 1
skills 1
sleeping 1
solo 1
some 1
spends 1
starts 1
stays 1
students 2
such 1
survey 1
switzerland 1
take 2
takes 1
taking 2
tend 1
tent 1
thanks 1
the 12
their 2
them 1
there 1
they 3
thing 2
this 1
threeweeks 1
time 1
to 13
together 1
took 1
true 1
two 2
unexpectedly 1
unfortunately 1
unshaven 1
until 1
up 6
via 1
video 1
virginity 1
visited 1
vogue 1
vogueshe 1
vs 1
was 4
waverly 4
webcam 1
when 1
where 1
which 1
while 1
who 1
whole 1
whom 1
wild 1
with 9
wood 1
woods 1
work 3
working 1
world 1
you 2
your 1
