5774312
/m/0f3xck
/m/0f3xck
Philip Kerr
2004
a 13
about 1
accidentally 1
acne 1
adventures 1
after 3
akhenaten 5
ambassador 1
an 1
and 14
appear 1
appears 1
are 4
as 3
attempt 1
away 1
baboon 1
back 2
bad 4
balance 2
battle 1
be 2
bear 1
because 1
become 1
begins 1
between 2
binding 1
book 1
both 1
bottle 1
bring 1
british 1
but 1
by 2
cairo 1
called 2
capture 1
causes 1
changes 1
children 1
city 2
class 1
cobra 1
coeur 1
cold 3
concludes 1
confined 1
confrontation 1
controlled 1
could 1
crocodile 1
de 1
debate 1
desire 1
disappear 1
disappears 1
discover 1
djinn 7
djinns 2
does 1
doing 1
down 1
dragon 1
dream 1
due 1
egypt 1
ensuring 1
escape 1
eventually 1
eventy 1
fight 1
for 1
french 1
from 1
gaunt 1
get 1
gets 1
ghost 1
go 4
good 1
granting 1
growth 1
have 2
he 1
heat 1
hidden 1
himself 1
hitting 1
home 1
housekeeper 1
how 1
however 1
hussaout 1
hussein 1
iblis 1
ifrit 1
in 9
inside 1
is 4
it 1
jar 1
john 4
king 1
knows 1
lamp 2
lapin 1
later 1
lead 1
leader 2
leads 1
life 2
london 1
lost 1
luck 4
make 2
man 1
meet 1
mom 1
more 2
most 1
mother 1
murder 1
museum 1
named 1
new 3
nimrod 10
nominal 1
north 1
not 3
of 9
on 2
ongoing 1
order 1
out 3
people 1
philippa 3
plane 1
polar 1
pole 1
powers 2
promote 2
quickly 1
really 1
release 1
releasing 1
same 1
save 1
sent 1
several 1
slows 1
sniffing 1
so 3
some 1
spacesuits 1
spend 1
spurtand 1
stay 1
sudden 1
suddenly 1
summer 1
take 1
teeth 1
teethalso 1
tells 1
temperature 1
than 1
that 5
the 29
their 10
them 4
themselves 2
they 11
this 1
those 1
thought 1
through 1
tip 2
tired 1
to 18
towards 1
train 1
tribe 1
trying 2
turns 2
twins 1
two 1
uncle 3
universe 1
up 1
upper 1
use 1
very 1
warm 1
warming 1
weak 1
weakened 1
wear 1
well 1
were 1
what 1
when 2
where 1
which 2
while 1
who 5
wicked 1
wife 1
will 1
wisdom 1
wish 1
with 2
without 1
woman 1
would 1
york 3
