567481
/m/02qtqh
/m/02qtqh
Daniel Clowes

a 12
about 1
addition 1
adults 1
allen 2
also 2
american 1
an 2
and 11
ape 1
appears 1
are 1
around 1
as 2
at 1
attempts 1
audience 1
ballad 1
barbara 2
bdsm 1
be 1
becomes 1
before 1
believe 1
birthmark 1
bizarre 3
but 1
by 4
carved 1
cast 3
character 1
characters 1
child 1
clay 6
climax 1
commentary 1
conspiracy 3
crazed 1
cthulhu 1
cult 1
dan 1
death 1
did 1
dime 1
dominatrix 1
dream 1
during 1
elements 2
embroiled 1
estranged 1
father 1
feature 1
figures 1
foot 3
for 3
forms 1
freaks 1
frequency 1
from 1
ghostlike 1
glove 2
gnaws 1
government 1
happyface 1
has 1
he 1
her 2
his 3
hitler 1
icon 1
in 8
incident 1
incredibly 1
infamous 1
inhumanly 1
intend 1
into 1
involving 1
iron 2
is 7
it 1
its 1
jones 2
kenneth 1
learned 1
led 1
leg 1
like 2
links 1
locate 2
logos 1
loss 1
loudermilk 2
love 1
malformed 1
man 1
massmurderer 1
meets 1
misadventures 1
mother 1
mr 3
mythos 1
named 1
nature 1
never 1
novelty 1
nymphomaniacal 1
of 12
on 4
one 1
only 1
other 1
our 1
out 1
overthrow 1
part 1
people 1
pervade 1
phrase 1
places 1
policemen 1
political 1
porn 1
porno 1
potatolike 1
potatowoman 1
power 1
rather 1
reader 1
reasons 1
references 1
referencing 1
reins 1
religious 1
rem 1
revealed 1
revolve 1
same 1
see 1
sees 1
sequence 1
series 2
sets 1
shaggs 1
shops 1
sign 1
signifies 1
societies 1
some 1
somehow 1
song 3
star 1
store 1
story 4
subplot 1
suggestions 1
supporting 1
tattooed 1
that 1
the 28
theatre 1
theorists 1
there 1
thing 1
through 1
titled 1
to 7
true 1
two 1
ugly 1
unknown 1
unrequited 1
used 1
value 1
varied 1
various 2
velvet 2
victimized 1
violent 1
way 1
weirdos 1
what 1
when 1
which 2
who 2
wife 2
will 1
with 1
woman 1
world 1
years 1
young 1
