31081747
/m/0gg6sg4
/m/0gg6sg4
Judson Roberts
2006
a 15
abbot 1
accompany 1
acknowledged 1
after 3
ago 1
agrees 2
ahead 1
aidan 1
almost 1
amazing 1
among 1
an 6
and 31
are 4
around 1
arrives 3
arriving 1
as 6
ash 1
asks 1
at 5
attack 1
attempt 1
attitude 1
back 1
backstory 1
band 1
battle 1
bay 2
be 1
because 1
becoming 1
been 3
beginning 1
begins 3
being 2
between 1
bow 1
breaks 1
breaths 1
burned 1
but 4
by 1
called 1
carls 3
carrying 1
chieftain 2
children 1
chores 1
claim 1
comes 1
cost 1
crew 2
cutting 1
day 2
dead 2
death 4
decide 1
demands 1
denies 1
derdriu 5
described 1
despite 1
die 1
died 1
dines 1
discovers 2
disturbed 1
do 1
doesnt 1
done 1
during 1
dying 1
ejects 1
england 1
enjoy 1
enslavement 1
enters 1
escape 3
escapes 1
estate 7
every 1
exposed 1
failure 1
feast 4
festivities 1
fight 1
fighting 1
final 1
finished 1
following 4
for 5
forest 1
former 1
free 1
freed 2
friends 1
from 2
furious 1
gather 1
get 1
gets 2
give 1
go 1
great 2
gunhild 3
had 2
hafldans 1
halfdan 15
hall 1
harald 10
haralds 1
has 7
he 17
heads 1
hearing 1
hedeby 1
heed 1
her 2
hide 1
him 7
himself 1
his 7
honor 1
house 1
household 1
how 1
however 1
hrorik 10
hroriks 2
hungover 1
hunted 1
hunting 1
if 1
in 7
infers 1
informs 1
inheritance 2
injured 1
injury 1
inside 1
interrupted 1
into 1
introduced 1
irish 1
is 18
it 2
journey 1
kick 1
kill 2
killed 1
kills 1
knack 1
laid 1
last 1
leader 1
learns 2
leave 3
leaves 1
led 1
left 1
lengthy 1
lets 1
like 2
limfjord 3
living 1
long 2
longhouse 1
longship 1
look 1
made 1
makes 1
man 3
manages 2
many 1
meets 1
men 2
met 1
months 1
morning 2
mother 1
mothers 1
must 1
near 1
need 1
newlyinherited 1
night 5
no 1
none 1
normal 1
not 1
nothing 1
novel 1
oath 1
of 20
off 2
officially 1
on 1
one 4
only 1
or 1
other 2
out 5
oxen 2
point 1
prepare 1
previous 1
princess 1
quells 1
quickly 2
rage 1
raid 2
raiders 5
raiding 1
reader 4
received 2
recounts 1
request 1
return 1
reveals 1
revenge 1
rule 1
seems 1
send 1
sent 1
set 1
she 4
ship 1
shot 1
showing 1
sigrid 2
since 1
skill 1
slave 3
slaves 1
so 2
society 1
something 1
son 3
soon 8
speaking 1
squaring 1
stay 2
step 1
story 1
swears 1
talent 1
that 12
the 40
their 7
them 2
they 5
this 4
though 1
timber 1
to 23
toke 11
tokes 2
too 2
town 1
training 2
trapped 1
two 3
unharmed 1
up 1
upon 1
used 2
valhalla 2
verge 1
wakes 1
warcrazed 1
warrior 1
warriors 2
was 1
watch 1
were 1
where 3
which 3
while 3
who 3
with 6
without 1
women 1
wood 1
work 1
wounded 1
