10700816
/m/02qmmsv
/m/02qmmsv
Eva Ibbotson
2004-07-02
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 17
abandoned 2
about 3
accident 1
actually 1
adopted 1
after 2
all 1
allowed 1
an 1
and 23
annika 18
annikas 1
announces 1
are 4
army 1
as 2
asked 1
asks 1
at 1
attend 1
aunt 1
away 1
baby 2
back 2
be 1
beautiful 1
become 2
been 1
blames 1
boarding 1
bottom 1
boy 1
brother 1
but 6
buys 1
by 3
called 2
can 2
cares 1
church 1
close 1
comes 1
committing 1
contained 1
cousin 1
crumbling 1
decide 1
delighted 1
derelict 1
despises 1
died 3
dies 2
discover 1
discovering 1
discovers 1
documents 1
does 1
doesnt 1
done 1
each 1
egghart 1
ellie 6
enjoy 1
escape 1
estate 1
explaining 1
fact 1
family 2
famous 2
farm 1
find 1
finds 1
flees 1
for 4
fraud 1
friendly 1
friends 2
galoshes 1
germany 1
girl 1
gloomy 1
go 1
goes 1
great 1
greataunt 2
grossenfluss 1
grows 1
gudrun 1
had 2
happy 1
harsh 1
has 4
have 1
he 1
her 19
hermann 3
his 1
home 2
horse 1
house 1
important 1
in 7
including 1
infant 1
investigate 1
is 11
it 2
jewels 5
kazan 1
la 3
ladies 1
lady 1
leaves 1
left 1
liar 1
life 1
lives 1
long 1
loremarie 2
lost 1
lots 1
lover 1
loves 2
manage 1
manages 1
mansion 1
meets 2
missing 1
money 1
mother 10
much 1
mystery 1
name 2
not 1
note 1
nunnery 2
of 9
on 2
ones 1
opened 1
oswald 1
other 1
over 1
own 1
paint 1
pastings 1
pauline 1
peeling 1
perfect 1
personality 1
picture 1
piece 1
police 1
professors 3
pupil 2
puzzle 1
quarantine 1
raise 1
read 1
real 3
really 1
relative 1
rescue 1
revealing 1
rich 2
rocco 2
romanygypsy 1
rondine 3
says 2
school 2
sent 1
servant 1
servants 1
she 16
sign 1
signed 1
sigrid 4
size 1
small 1
snobby 1
so 3
sold 2
some 1
sometimes 1
spittal 1
stage 1
star 1
stefan 2
suicide 1
suspicions 1
take 1
taken 1
takes 1
taking 1
tell 1
telling 1
that 9
the 28
theatre 1
theft 1
their 2
them 2
then 3
there 1
they 5
thinking 1
those 1
thought 1
three 1
to 18
told 1
too 1
trunk 2
two 2
typhus 1
unaware 2
uncle 1
up 1
very 2
vienna 4
walk 1
walls 1
wants 1
was 3
went 1
were 2
what 1
when 6
where 1
which 3
who 2
whom 1
why 1
with 2
without 1
wonders 1
work 1
works 1
young 1
zed 3
zurich 1
