25527678
/m/06g0s3z
/m/06g0s3z
George Meredith
1875
a 8
after 1
again 1
alienating 1
an 3
and 8
apologise 1
apologises 1
aristocrat 1
as 1
at 2
attempt 1
be 1
beauchamp 1
beautiful 1
been 1
being 1
brilliant 1
but 4
career 1
cecilia 2
child 1
claim 1
conservative 1
crimean 1
croisnel 1
de 1
death 1
defeated 1
demands 1
dies 1
door 1
dr 4
drowning 1
elderly 1
elope 1
everard 3
fallen 1
falls 3
few 1
for 1
freethinking 1
french 2
from 1
girl 1
halkett 1
happy 1
has 1
having 1
he 7
health 1
her 2
high 1
highspirited 1
his 5
honour 1
hopes 1
horsewhips 1
husband 1
ideals 1
ill 1
in 8
influence 1
instead 1
is 4
jenny 1
last 1
life 1
love 4
marriage 1
marries 2
meanwhile 1
months 1
naval 2
nevil 12
not 1
now 1
of 4
officer 1
on 1
one 1
outraged 1
parliament 1
peer 1
proposal 1
public 1
quarrel 1
radical 1
reconciles 1
recovers 1
recovery 1
refuses 2
rene 4
repents 1
republican 1
returns 1
romfrey 1
ruins 1
save 1
service 1
shrapnel 4
spite 1
stands 1
staunchly 1
takes 1
that 1
the 4
there 1
thereby 1
thought 1
to 4
tory 1
uncle 2
under 1
up 1
venice 1
war 1
ward 1
wealthy 1
when 1
who 1
whom 1
with 8
wounded 1
young 1
