4905102
/m/0ctghq
/m/0ctghq
Joe Dever
1988
{"/m/03ff00": "Gamebook", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 2
absence 1
absorbed 1
adventure 1
after 1
all 2
and 6
archlord 1
back 1
battle 1
city 2
confront 1
conquered 1
considerable 1
culminates 1
darklords 3
daziarn 1
destruction 1
finally 1
finds 2
foul 1
free 1
gate 1
gnaag 1
has 1
have 1
he 1
heart 1
helgedad 2
him 1
himself 1
his 5
home 1
hopes 1
in 3
infernal 1
last 1
lone 2
lorestones 2
magnamund 2
much 1
must 1
now 1
of 9
on 1
passed 1
peoples 1
plane 1
principal 1
realm 1
recovers 1
return 1
shadow 1
shoulders 1
sommerlund 1
spectacular 1
struggles 1
that 2
the 13
time 1
to 3
travel 1
unfortunately 1
upon 1
very 1
wisdom 1
with 2
within 1
wolf 2
