24919777
/m/09gj5gf
/m/09gj5gf
China Miéville
2010-05-07
{"/m/02vzzv": "Urban fantasy"}
a 6
additionally 1
almighty 1
an 1
and 2
are 1
assorted 1
at 1
back 1
been 1
bottle 1
british 1
by 1
church 1
could 1
criminal 1
cult 1
cults 1
dead 1
deity 1
did 1
disappeared 1
elements 1
event 1
folded 1
foot 1
formalin 1
forty 1
found 1
getting 1
giant 1
glass 1
god 1
groups 1
has 2
have 1
history 1
in 2
including 1
inexplicable 1
interested 1
into 1
is 1
it 1
kraken 1
liberate 1
london 1
member 1
mostly 1
murder 1
museum 1
naive 1
natural 1
occurred 1
of 4
or 1
overnight 1
police 1
religious 1
represents 1
rival 1
secret 1
specimen 1
squad 1
squid 3
staff 1
stolen 1
supernatural 1
the 4
their 1
they 1
to 1
various 2
victim 1
wondrous 1
