528116
/m/02lw7f
/m/02lw7f
Larry Niven
1984
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 17
adrift 1
after 1
ago 1
ai 1
allowing 1
ancestors 1
and 14
any 2
apprentice 1
approach 1
are 4
area 1
arrived 1
as 4
at 1
attacked 1
attackers 1
augmented 1
autopilot 1
away 1
back 2
battle 3
become 1
been 1
before 2
between 1
but 1
by 3
captured 1
cargo 1
carm 4
carther 2
cases 1
causing 1
centuries 1
chairman 3
citizens 1
clave 1
clear 1
closer 1
computer 1
consists 1
contacts 1
cottony 1
counterattacks 1
crash 1
creature 1
cripples 1
cut 1
daltonquinn 2
dangerously 1
decide 1
decides 1
different 1
discipline 1
dislikes 1
domesticated 1
dropping 1
drought 1
dub 1
during 2
dying 1
earth 1
end 1
engage 1
equilibrium 1
eventually 1
ever 1
fall 1
falling 1
far 1
farther 1
few 1
find 4
first 1
floating 1
flock 1
flying 1
foliage 1
from 4
fuel 1
fully 1
gold 1
group 3
habitable 1
half 1
has 1
he 1
help 1
high 1
hook 1
how 1
hunt 1
hunting 1
in 12
including 1
inhabitants 3
inhabits 1
interaction 1
into 2
is 5
it 1
its 3
jeffer 1
jet 1
jump 1
jungle 3
kendy 3
killing 1
know 1
later 1
leader 1
left 1
life 1
live 1
living 1
london 2
loose 1
main 1
manage 2
markings 2
mass 1
massive 1
median 1
members 2
method 1
middle 1
midpoint 2
miles 1
miniature 1
moby 1
module 1
mostly 1
motor 1
naked 1
near 1
nearly 1
new 2
nine 1
normally 1
not 1
notice 1
occupants 1
of 24
on 2
onboard 1
one 1
only 2
opened 1
or 1
orbit 1
original 1
ostensibly 1
other 2
out 3
party 2
passed 1
passing 1
people 1
pilot 1
plant 1
pods 1
pressure 1
progress 1
propulsion 1
provide 1
quinn 3
reaches 1
recut 1
relic 1
remain 1
repair 1
result 2
reunited 1
ring 6
rival 1
running 1
safely 1
scientist 1
see 1
seed 1
sees 1
send 1
sends 1
settle 1
settlers 1
seven 1
severe 1
shattered 1
ship 1
since 1
six 2
sky 1
slavers 1
slaverunners 1
smoke 5
some 2
soninlaw 1
spacecraft 1
split 1
splits 1
stars 1
states 2
steal 1
still 1
subsist 1
suffering 1
surviving 1
takes 1
temporary 1
that 2
the 56
their 5
them 4
themselves 1
they 12
thirst 1
thousands 1
thrust 1
to 14
toward 2
tree 12
trees 1
tremor 1
tribal 2
tribe 6
trunk 1
tuft 3
turkeys 1
two 1
unable 1
understanding 1
unknown 1
up 1
voy 2
watching 1
way 2
weeks 1
whalelike 1
when 4
which 3
who 1
with 3
years 1
