15970886
/m/03qjl09
/m/03qjl09
Audre Lorde
1980
177 1
28 1
a 7
about 1
account 1
action 1
after 1
all 1
also 2
alternative 1
although 1
an 2
and 4
are 1
arguing 1
around 1
association 1
at 3
be 1
biopsy 1
black 2
book 1
breast 4
calls 1
cancer 4
chapter 3
chapters 1
coming 1
consists 1
coverup 1
daytoday 1
december 1
diary 1
dwells 1
each 1
excerpt 1
experience 3
explains 1
featuring 1
feminist 1
fine 1
first 2
focuses 1
for 1
from 4
further 1
given 1
harbours 2
her 7
if 1
importance 1
in 2
into 1
introduction 1
is 2
it 3
judged 1
language 2
lesbian 3
like 1
literature 1
look 1
looks 1
lorde 3
love 1
mastectomy 1
medicine 1
mentions 1
modern 1
of 7
on 5
one 1
operation 2
options 1
other 1
out 1
outcome 1
panel 1
passages 1
possibilities 1
power 1
prosthesis 2
reader 1
received 1
refusal 1
relinquish 1
resort 1
second 1
seems 1
she 4
should 1
silence 2
silicon 1
society 1
solace 1
solely 1
speak 1
speech 1
starting 1
survivors 1
talking 1
terms 1
that 2
the 17
their 1
they 1
third 1
three 1
throughout 1
to 7
transformation 1
unicorn 1
vs 1
wanted 1
wear 1
where 1
with 4
women 4
would 1
