220272
/m/01g5nl
/m/01g5nl
Virginia Woolf
1925-05-14
a 6
about 2
act 1
admire 1
after 1
an 1
and 5
are 1
around 1
at 1
attended 1
be 1
book 1
bourton 1
by 5
characters 1
choice 1
clarissa 2
comes 1
commitment 1
commits 1
concerning 1
conflicts 1
considers 1
countryside 1
dalloway 2
day 3
dear 1
deferred 1
demanding 1
died 1
effort 1
enigmatic 1
evans 1
evening 2
frequent 1
friend 1
from 2
getting 1
goes 1
gradually 1
had 1
hallucinations 1
happiness 1
has 1
he 2
hears 1
her 5
his 4
hospital 1
host 1
husband 1
i 1
in 7
including 1
indecipherable 1
instead 1
involuntary 1
is 4
it 1
italianborn 1
jumping 1
later 1
london 1
lucrezia 1
makes 1
married 1
met 1
morning 2
most 1
mostly 1
nice 1
not 1
observed 1
of 8
option 1
out 1
park 1
party 3
past 1
paying 1
people 1
peter 3
prescribed 1
preserve 1
psychiatric 1
purity 1
ready 1
reintroduces 1
reliable 1
reminds 1
richard 1
sally 1
septimus 3
seton 1
she 5
slow 1
smith 1
spends 1
spent 1
stranger 1
stress 1
success 1
suffering 1
suicide 2
that 3
the 14
these 1
they 1
this 1
to 5
traumatic 1
veteran 1
visit 1
visited 1
walsh 2
war 2
warren 1
where 1
which 1
who 1
wife 1
window 1
with 2
wonder 1
world 1
youth 1
