6306237
/m/0g09dn
/m/0g09dn
Daniel Mason
2002
{"/m/02xlf": "Fiction"}
1886 1
a 5
against 1
amongst 1
and 3
anthony 1
as 1
becomes 1
belonging 1
bring 1
british 2
burma 2
by 2
caroll 2
charged 1
climate 1
commissioned 1
crown 1
doctor 1
drake 2
edgar 1
empire 1
erard 1
expansion 1
extreme 1
finds 1
further 1
goes 1
grand 1
had 1
he 1
him 1
himself 1
horribly 1
humidity 1
in 5
interests 1
intrigue 1
is 4
it 1
jungles 1
man 1
many 1
means 1
meet 1
middleaged 1
military 1
mission 1
myths 1
name 1
novel 1
of 8
office 1
order 1
out 1
peace 1
piano 3
princes 1
protagonist 1
rare 1
rendered 1
repair 1
root 1
series 1
set 1
shipped 1
soon 1
staff 1
strategic 1
subplots 1
suddenly 1
surgeonmajor 2
surrounded 1
the 18
thus 1
to 7
treason 1
tropical 1
tune 1
tuner 1
union 1
useless 1
vital 1
war 1
when 1
who 1
wishes 1
with 1
