239158
/m/01jphw
/m/01jphw
David Lodge
1965
a 9
about 1
adam 6
again 1
allusions 1
alphabet 1
also 2
an 1
and 5
any 1
appleby 1
appreciating 1
are 3
as 1
ask 1
assortment 1
at 2
authors 1
barbara 1
bayswater 1
be 1
bloom 1
both 1
busy 1
butchers 1
by 2
came 1
catholics 1
chances 1
chapter 1
characters 1
child 1
children 1
clare 1
constant 1
contraception 1
cope 1
course 1
critics 1
day 3
deceased 1
denied 1
describes 1
different 1
dominic 1
drivel 1
edit 1
edward 1
eventually 1
example 1
extensive 1
fault 1
fear 1
feels 1
final 1
first 1
for 3
form 1
found 1
fourth 1
friends 1
from 1
get 1
has 3
have 2
he 4
him 1
his 3
house 1
however 1
if 1
imitated 1
in 7
incorporating 1
inhomogeneous 1
instance 1
instead 1
intend 1
intent 1
is 4
james 1
joyce 1
kafkaesque 1
life 1
literary 1
lives 1
lodge 3
london 1
look 1
make 1
makes 1
man 1
manuscripts 1
might 1
mirrors 1
molly 1
money 1
monologue 1
motifs 1
not 1
novel 4
number 1
of 10
offered 1
on 1
one 2
only 1
opportunity 1
out 1
papers 1
passages 1
pastiche 1
play 1
pregnant 1
present 1
quite 1
ranging 1
readingroom 1
realizing 1
renew 1
reviewers 1
roulette 1
scene 1
scholar 1
seducing 1
set 1
several 1
single 1
soliloquy 1
some 1
style 1
styles 2
supposed 1
swinging 1
that 2
the 14
their 1
them 1
themselves 1
there 1
they 2
this 1
three 1
through 1
ticket 1
to 8
ulysses 2
uncomfortable 1
unpublished 1
use 2
used 1
various 1
vatican 1
virgin 1
weird 1
when 2
where 3
who 1
whole 1
wife 2
with 3
work 1
working 1
worthless 1
writing 2
writings 1
young 1
