1949104
/m/06883g
/m/06883g
Hugh Laurie

a 29
about 2
accompanied 1
activity 1
admits 3
after 4
afterward 1
agencies 1
agency 1
agent 1
agree 1
aided 1
airport 1
alexander 3
allow 1
although 1
american 2
amsterdam 2
an 2
and 31
another 1
answer 1
any 2
approached 2
armour 1
army 2
arrangement 1
arrive 2
as 9
asking 1
assassinate 1
at 3
attack 7
attacks 1
attempts 3
attention 1
back 1
backing 1
barnes 4
be 1
because 1
before 1
begins 1
being 2
belgravia 1
believe 1
billionaire 1
body 1
bodyguard 1
both 1
brief 1
briefed 1
businessman 1
but 6
by 9
call 1
called 1
can 1
captors 1
carry 1
casablanca 2
casually 1
casualties 1
centers 1
central 1
certain 2
chance 1
cia 2
claim 2
clashing 1
clear 1
cnn 1
come 1
company 1
confronts 1
conspiracy 4
conspirator 1
conspirators 3
contacts 1
contends 1
control 1
covering 1
covertly 1
currently 1
daughter 2
dead 1
death 1
declaration 1
defence 2
deputy 1
destruction 1
determine 1
dinner 1
direct 1
directed 1
director 1
discovering 1
disturbingly 1
down 2
drinking 1
driving 1
drug 1
drugs 1
during 2
dutch 1
earlier 1
elder 1
eliminate 1
embassy 4
encountering 1
encounters 1
england 1
ensure 2
ensuring 1
escape 2
even 1
eventually 1
existence 1
explains 1
explicit 1
father 1
finding 3
finds 1
fire 2
flat 1
flies 1
focused 1
footage 1
for 1
force 1
forces 1
forcibly 1
frees 1
friend 2
from 3
gather 1
goes 1
gone 1
good 1
government 1
greed 1
greeted 1
group 1
gun 2
gunpoint 1
handcuffs 1
handler 1
handtomouth 1
happy 1
he 12
head 1
heavily 1
helicopter 7
helping 1
her 3
him 11
himself 3
hire 1
his 13
hitman 1
holding 1
home 1
hostages 1
if 1
illustrate 1
in 15
incapacitating 1
income 1
instead 1
intelligence 2
intended 1
intense 1
interest 2
international 1
interrogated 1
into 2
intrigued 1
investigating 1
investigation 2
investing 1
is 17
it 4
javelin 1
jobs 1
just 1
justice 3
kidnapped 1
killed 1
killing 2
kills 1
knows 1
landing 1
lang 25
learned 1
leaves 1
life 1
light 2
line 1
lives 1
london 4
made 2
main 1
mainly 1
make 1
makes 2
man 4
managed 1
manufactures 1
meet 2
mercenary 2
military 1
minimize 1
ministry 3
minnesotan 1
missile 1
missing 1
more 2
motorcycle 1
murdah 7
naimh 1
named 3
nearby 1
networks 1
never 1
news 1
nextgeneration 1
not 2
now 1
number 2
of 24
off 1
officer 1
officially 1
on 4
one 2
open 1
openly 1
order 1
orders 1
other 1
out 1
outlining 1
owner 1
part 3
pass 1
pictures 1
placed 1
plainly 1
plan 1
planned 1
plot 3
point 1
politician 2
predicted 1
process 1
promote 1
provided 1
pulls 1
questions 1
quite 1
rather 1
real 1
refuses 1
regarding 1
releases 1
remaining 1
retired 1
return 1
ricky 1
ride 1
ronnie 2
roof 1
room 1
ruining 1
sarah 10
scrutiny 1
see 2
seemingly 1
seller 1
selling 1
sending 1
setup 1
she 1
shoots 1
shortly 1
shot 1
showing 1
shown 1
siege 1
since 1
skeptical 1
skills 1
slipped 1
small 1
smuggled 1
smuggler 1
solomon 2
some 1
somewhat 1
stage 1
statement 1
states 1
stems 1
story 2
strongarm 1
subsequently 1
success 1
successfully 1
sudden 1
swears 1
switzerland 1
sword 3
take 1
takes 1
talking 1
tells 1
terrorist 3
terrorists 3
that 6
the 51
then 2
there 1
thereafter 1
they 1
thomas 1
threat 1
thwarted 1
time 1
tired 1
to 30
together 1
tortured 1
track 1
tried 1
two 1
under 4
undertakes 1
unexpectedly 2
up 2
utilizing 1
variety 1
via 2
victim 1
warm 1
warn 1
was 5
way 1
wearing 1
what 1
whisky 1
who 6
will 3
with 5
within 1
woolf 12
worldwide 1
