13047106
/m/02z4jmg
/m/02z4jmg
John Jakes
1976
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
1836 1
1837 1
21 1
a 18
act 1
after 5
afterwards 1
against 1
aided 1
alamo 1
also 1
amanda 17
amandas 3
american 1
among 1
an 4
and 24
anna 1
annas 1
another 1
april 1
army 1
article 1
as 5
at 2
attempt 1
attempted 2
back 1
backing 1
barton 1
battle 2
be 1
became 5
because 4
become 1
been 1
before 1
began 1
begins 1
believed 1
belonging 1
birth 1
blocked 1
book 1
boston 1
box 1
brief 1
buena 1
but 6
buy 2
buying 1
by 3
california 3
called 3
came 3
camp 1
cane 1
captain 1
children 1
claim 2
clemency 1
company 1
conductor 2
conversation 1
cordoba 3
cousin 4
craps 1
danger 1
daughter 1
days 1
de 1
dead 1
deal 1
death 1
declined 1
depicted 1
deter 1
did 2
discover 1
discovered 2
disguised 1
during 3
employ 1
employed 1
end 1
enough 1
ensuing 1
establishment 2
event 2
eventually 1
ever 1
expanded 1
family 2
father 2
fatherinlaw 2
fell 2
female 1
financial 1
firm 3
fled 1
follower 1
for 2
forces 1
foreigners 1
found 1
founded 1
francisco 1
from 5
fugitive 1
fully 1
gaining 1
game 1
gang 2
gave 1
gilbert 1
goal 1
gold 6
grant 1
great 1
gura 1
had 6
hamilton 1
harriet 1
have 1
he 9
heirs 1
her 24
hidden 1
him 5
his 9
home 1
honor 1
hotel 1
house 2
immediately 1
immigrants 1
in 25
inadvertently 2
incautiously 1
instead 1
into 1
invested 1
investment 1
irish 2
it 6
jacinto 1
january 1
jared 4
jephtha 3
jephthas 2
kent 11
kept 1
kill 1
killed 2
knocked 1
known 1
la 1
land 1
late 1
law 1
leaning 1
lebow 1
led 1
left 2
lexington 1
liberal 1
life 4
literature 1
lived 2
living 1
long 1
lost 1
louis 3
love 2
luis 1
made 4
maid 1
mailed 1
major 1
majority 2
many 2
march 1
married 1
massacre 2
mcgill 2
means 1
members 1
men 2
methodist 1
mexican 2
millionaire 1
minister 1
missed 1
moment 1
money 2
morally 1
more 1
mother 1
moved 1
name 1
named 1
new 2
newspapers 1
not 3
now 1
obeyed 1
obsessed 1
of 17
offer 2
officers 1
on 4
once 1
one 4
operated 1
opposed 3
out 1
owned 2
part 1
partner 1
partners 1
preferred 1
previously 1
proceeded 1
profitable 2
provided 1
publish 1
published 1
publishing 2
put 1
putting 1
railroad 1
raping 1
read 1
rebellion 1
reclaim 1
regular 1
remained 1
replaced 1
rescinded 1
retaliation 1
returned 1
returning 1
reunited 1
revealed 1
rivalry 1
ruin 1
runaway 1
rush 2
san 2
santa 2
saved 1
sea 1
search 2
seekers 1
seeking 1
seen 1
sell 1
series 1
servant 1
settled 1
seventeen 1
shareholder 1
she 23
shot 2
should 1
simply 1
slave 3
slavery 1
small 1
sneaked 1
so 1
son 11
southern 1
state 1
stay 1
stepfather 1
still 2
stocks 2
story 1
stovall 6
stovalls 2
support 1
survived 1
taken 1
tavern 2
texans 1
texas 2
textile 1
that 7
the 38
their 1
then 2
there 1
they 3
thinking 1
third 1
thirtyfour 1
this 4
though 1
threatened 1
three 1
through 1
time 2
to 29
told 1
trips 1
twentytwo 1
two 1
unbeknownst 1
unconscious 1
underground 1
unexpectedly 1
until 1
used 1
vandalized 1
virginia 1
visiting 1
wanted 1
was 14
were 3
west 1
when 5
where 1
which 3
while 1
who 7
willing 2
with 9
witnessed 1
woman 1
women 1
wooden 1
work 2
would 1
years 2
yerba 1
york 2
