2223342
/m/06x64z
/m/06x64z
Roddy Doyle
1999
116 1
121 1
a 4
about 1
acquainted 1
against 1
and 5
army 1
as 1
at 1
barracks 1
becomes 2
better 1
between 1
british 1
characters 1
childhood 1
citizen 1
collins 1
comes 1
concept 1
connolly 1
do 2
early 1
easter 1
end 1
endless 1
ensuing 1
era 1
eventual 1
eyes 1
fire 1
free 1
from 1
gain 1
gmen 1
guerilla 1
gunman 1
has 1
he 1
henry 3
his 1
historical 1
in 5
including 1
innocent 1
ireland 3
irish 1
is 1
james 1
killing 1
kingdom 1
later 1
life 1
little 1
member 1
michael 1
more 1
novel 2
of 7
on 1
or 1
others 1
patrick 1
pearse 1
people 1
personal 1
personally 1
political 1
prospect 1
rising 1
same 1
seen 1
set 1
setting 1
several 1
shooting 1
signed 1
smart 1
that 1
the 15
think 1
through 1
to 4
training 1
truce 1
twenties 1
united 1
upheaval 1
violence 1
war 1
with 3
young 1
