12949678
/m/02z12dq
/m/02z12dq
Andrew Kaplan
1980

30 1
a 8
after 1
agent 1
agents 1
amazon 2
america 2
an 3
and 8
angel 1
angeles 1
arrest 1
as 2
auschwitz 1
be 1
become 1
begins 1
behind 1
betrays 1
by 3
caine 5
caines 1
called 1
captured 1
case 1
cia 1
cj 3
clinic 1
conspiracy 2
dead 1
death 1
deep 1
dr 2
eluded 1
encounter 2
escape 2
escapes 1
europe 1
excia 1
find 1
finds 2
for 4
from 2
had 1
harris 1
has 2
he 5
headhunting 1
him 4
hired 1
his 1
hollywood 1
holocaust 1
hunt 1
identity 1
in 4
indians 2
infamous 1
into 1
is 2
jail 1
jerusalem 1
jew 1
john 1
josef 1
jungle 2
kill 2
kills 1
king 1
landing 1
lead 2
learns 1
lima 1
los 1
makes 1
manages 1
medical 1
meets 1
mendoza 1
mendozas 1
mengele 5
mistress 1
more 1
murder 1
nazi 1
needed 1
neonazi 1
odessa 2
of 5
officer 1
oil 2
out 1
over 1
paraguay 1
part 1
peruvian 1
plot 1
police 1
porn 1
pursued 1
pursuers 1
revealed 1
reveals 1
ring 1
run 1
schiffen 2
south 2
springs 1
starfish 2
strike 1
survivor 1
take 1
taken 1
than 1
that 2
the 10
to 9
together 1
turns 1
vienna 1
von 2
was 1
wasserman 3
wassermans 1
way 1
where 2
who 8
will 1
with 3
years 1
