22516896
/m/05zt9z0
/m/05zt9z0
Virginia DeMarce
2008-12-16
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction"}
1635 1
20th 1
a 3
action 1
actions 2
activities 1
adolphus 1
after 2
aftermath 1
against 1
agents 5
all 1
allies 1
also 3
although 1
american 1
an 1
and 14
antisemites 1
antisemitic 3
appears 1
are 4
area 1
as 7
assassinating 1
assassination 1
assassinations 3
at 1
attempts 1
autopsies 1
been 2
but 2
by 5
came 2
cannon 1
cardinal 1
carried 1
cause 1
century 1
close 1
collector 1
controlled 1
covers 1
crown 1
de 1
decided 1
demonstration 1
demonstrations 1
did 1
discarded 1
do 2
double 2
down 1
downtimers 1
dreeson 1
ducos 8
duke 2
dumais 1
during 1
elections 1
elsewhere 2
embarrass 1
enoch 1
eradication 1
escape 1
europe 2
events 3
examining 1
extremist 1
figured 1
figures 2
flee 1
followers 2
for 4
forced 1
forces 1
francisco 1
frankfurt 3
french 2
from 2
garbage 1
gives 1
grantville 7
group 2
guillaume 1
gustavus 1
had 1
has 4
have 1
having 1
he 4
henri 2
henry 1
highest 1
him 1
himself 1
his 8
huguenot 3
huguenots 2
if 1
impossible 1
in 12
incident 2
incumbent 1
individuals 1
influences 1
instructions 1
is 2
jacquespierre 1
justify 1
knowledge 1
law 1
leaders 1
learning 1
led 1
left 1
letters 1
like 1
likeminded 1
locquifier 1
lose 1
loyalists 1
making 2
manipulated 1
mayor 1
meanwhile 1
methodist 1
michel 2
midst 1
mike 2
minister 1
monitoring 1
nasi 2
new 1
not 1
nothing 1
notify 1
novel 1
of 13
office 1
on 3
one 1
operation 1
opponent 1
ordering 1
orders 1
other 1
others 2
out 3
overextend 1
own 1
party 2
place 2
planned 1
plans 2
political 1
pope 1
powerful 1
prime 1
provocative 1
radical 1
ranking 1
remain 1
removed 1
reports 1
residents 1
respective 1
result 1
results 1
richelieu 3
rohan 2
rome 2
scotland 1
secretly 1
see 1
selfdefeating 1
sending 1
settled 1
several 3
shocked 1
spymaster 1
state 1
states 1
stearns 3
strict 1
successfully 1
such 1
sure 1
synagogue 1
takes 1
taking 1
that 3
the 28
them 2
these 1
they 1
through 1
throughout 1
thuringiafranconia 1
to 12
total 1
track 1
trying 1
two 1
under 1
united 1
until 1
urban 1
use 1
vaccination 1
views 1
viii 1
vilify 1
warning 1
wettin 1
which 2
while 1
who 1
wiley 1
will 2
william 1
with 1
within 2
working 2
works 1
would 1
writes 1
