7051390
/m/0h21qn
/m/0h21qn
Iris Murdoch
1973
{"/m/02xlf": "Fiction"}
a 14
abandoning 1
absence 1
achieving 1
action 2
affair 1
against 1
ageing 1
allow 1
also 2
an 2
and 6
another 1
apparent 1
apparently 1
appears 1
are 2
arnold 7
arrest 1
arrives 1
as 2
associates 1
at 4
attempts 1
attends 2
author 2
baffin 1
baffins 2
bare 1
be 2
before 1
being 1
below 1
black 1
blurts 1
book 1
bookended 1
bradley 11
brief 1
briefly 1
bringing 1
but 2
by 2
cast 1
central 1
character 2
characters 3
claim 1
close 1
closeness 1
collect 1
collectively 1
commits 1
complex 1
confess 1
consisting 1
consists 1
conviction 1
cottage 1
craft 1
create 1
creating 1
credentials 1
daughter 3
day 1
degree 1
depressed 1
described 1
description 1
despite 1
differently 1
discovered 1
discussed 1
distaste 1
domestic 1
doubt 1
drafting 1
during 3
dynamic 1
each 2
embarking 1
enraged 1
events 1
exposing 1
falls 2
family 1
feels 1
fiction 1
final 1
finer 1
focusing 1
for 4
forewords 1
francis 2
friend 1
friends 1
from 2
get 1
growing 1
had 2
has 2
have 2
having 1
he 5
her 3
hidden 1
him 1
himself 1
his 6
home 2
however 1
in 10
incident 1
influences 1
intense 1
interprets 1
is 6
isolation 1
issues 1
it 4
its 1
jealousy 1
julian 3
killed 1
killing 1
lack 1
laid 1
largely 1
later 2
least 1
leaves 1
less 1
life 1
literary 2
london 1
love 3
luxury 1
made 1
main 3
marloe 1
masterpiece 1
matter 1
meticulous 1
mind 1
more 1
murder 1
murdoch 1
narrative 1
necessary 1
needs 1
neglecting 1
never 1
next 1
night 1
nuances 1
oedipus 1
of 20
off 1
on 4
one 1
opening 1
or 3
ostensibly 1
other 2
out 1
over 1
parallel 1
pearson 1
period 1
place 1
point 1
poker 1
postpones 1
postscripts 2
preceded 1
pressing 1
prince 1
priscilla 1
private 1
product 1
promise 1
promptly 1
proper 1
purpose 1
rachel 2
reading 1
realise 1
regarding 1
relationship 1
remarkable 1
rented 1
residence 1
responses 1
return 1
returning 1
rival 1
row 1
said 1
seaside 1
section 4
seek 1
seem 1
selfcontrol 1
selfish 1
separate 1
she 1
sister 1
some 2
start 1
starts 1
stealing 1
story 1
strong 1
struck 1
structure 1
suicide 1
taken 1
takes 1
telephones 1
telling 1
tense 1
tension 1
that 3
the 32
their 2
themes 1
themselves 1
then 1
thereafter 1
these 1
they 1
this 4
though 2
thwart 1
time 2
to 16
told 1
tow 1
trapped 1
trial 1
vanishes 1
veracity 1
view 1
vow 1
where 1
which 1
while 1
who 1
wife 1
will 2
with 6
within 1
without 1
work 1
worried 1
writer 1
years 1
yet 1
young 1
younger 1
