639450
/m/02p2r2p
/m/02p2r2p
Patrick O'Brian
1991
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
200 1
20gun 1
a 21
absconding 1
accompanied 1
after 9
against 2
along 1
also 3
an 5
and 27
another 1
apothecary 1
are 5
arm 1
arranged 1
arrive 1
arrived 1
arriving 1
as 3
assistant 1
at 7
attack 1
attempt 1
attempts 2
attends 1
aubrey 6
australia 1
babirussas 1
back 4
ball 1
banks 1
barret 1
batavia 5
battle 1
beheading 1
being 3
belongs 1
between 1
bird 1
birds 1
bligh 1
bloody 1
boar 1
board 2
bonden 1
book 1
borne 1
borneo 1
boy 1
boys 1
bribed 1
british 1
brought 1
build 1
burn 1
but 9
by 12
canoe 1
captain 3
cargo 1
carpenter 1
carry 1
chances 1
chase 2
checked 1
children 2
china 1
chinese 1
clerk 1
cliffs 1
coins 1
collecting 2
colman 2
colonel 1
colony 1
command 2
commander 1
conflict 1
consciousness 1
consolation 2
contains 1
continue 1
convicted 1
cornelie 4
corps 1
countryside 1
coup 1
crew 4
cricket 1
cutter 1
da 1
daughter 1
deliberately 1
deputy 1
descriptions 1
desperandum 1
destruction 1
diana 1
diane 3
dinner 1
disguise 1
duckbilled 1
duel 1
dumesnil 1
dutch 2
dyaks 2
early 1
edinburgh 1
elusive 1
empty 1
encampment 2
encounters 1
engages 1
especially 1
everyone 1
everything 1
examining 1
exchange 1
expedition 1
farm 1
father 1
fauna 1
fetch 1
fights 1
final 1
flogged 1
flora 1
for 6
formal 1
former 1
founders 1
four 1
french 2
frigate 2
from 10
game 1
girls 1
give 1
government 1
governor 3
graphic 1
gun 2
had 1
has 3
have 2
he 5
hearing 1
hears 2
height 1
her 1
him 3
himself 1
his 8
hms 1
holds 1
hosted 1
house 1
hunter 1
hunting 1
in 15
including 1
inform 1
injured 1
instead 1
insulted 2
intercepted 1
interested 1
interrupted 1
irishman 1
is 14
island 5
it 2
its 3
jack 4
joes 1
johanna 1
joseph 1
journey 1
junk 2
keen 1
keep 1
ketapan 1
killick 1
killing 2
knows 1
lachlan 1
lashes 1
last 1
laudanum 1
li 1
life 1
local 3
long 1
look 1
lowe 1
macquarie 2
make 1
makes 1
male 1
manages 1
marines 1
martin 3
match 1
maturin 6
mcpherson 1
melanesian 1
members 1
merchantman 2
message 1
met 1
more 1
mrs 1
name 1
nearly 1
needed 1
nests 1
net 1
new 3
nil 1
nine 1
novel 1
nutmeg 5
of 19
officer 2
on 7
once 2
one 4
opens 1
or 1
ore 1
ornithorhynchus 1
other 1
out 1
outbreak 1
outgunned 1
outmanoeuvred 1
outwit 1
padeen 2
paradoxus 1
particularly 1
passage 1
paulton 2
penal 2
persuaded 1
pierced 1
pirate 1
place 1
plans 2
platypus 1
platypuses 1
po 1
poisonspurs 1
pools 1
portuguese 1
pot 1
prabang 2
previous 1
previously 1
privateer 1
proa 2
promise 1
provided 1
proving 1
pullings 1
pulo 1
pursuit 1
raffles 1
reaching 1
rebellion 1
recently 1
regains 1
relief 1
remaining 2
remote 2
renames 1
rendezvous 1
rescued 1
rescues 1
resuming 1
return 1
reunited 1
roomy 1
routed 1
rum 1
sailors 2
salibabu 1
salute 1
schooner 2
sea 2
seafaring 1
seagoing 1
search 1
seas 1
secretly 2
secure 1
seem 1
settlement 1
ship 2
shipwrecked 1
shortly 1
silver 1
sir 2
slower 1
slowly 1
smallpox 1
smoked 1
sole 1
some 1
soon 1
south 5
specimens 1
spirits 1
spot 1
stamford 1
stay 1
stealing 1
stephen 12
sultan 1
sunk 1
surprise 4
surprises 1
surrounding 1
surviving 1
survivors 2
sweeting 1
tail 1
take 1
taken 3
taking 1
temporary 1
that 3
the 61
their 5
then 1
they 5
thirdlieutenant 1
thirteen 1
thomas 1
titles 1
to 24
tour 1
transferred 2
treats 1
triton 1
turn 1
twenty 1
two 4
typhoon 1
under 2
until 1
up 1
upon 2
valley 1
very 1
visited 1
wales 3
wan 1
was 2
watering 1
watermole 1
waverley 1
way 3
well 1
whaler 1
when 1
which 1
whilst 1
who 1
whom 1
wife 1
wild 1
william 1
wins 1
with 9
within 1
woolloowoolloo 1
worth 1
young 1
