15476322
/m/03mbl_b
/m/03mbl_b
Jack Higgins
1991
{"/m/01jfsb": "Thriller", "/m/098tmk": "War novel", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
175 1
a 18
about 2
accident 1
after 2
afterwards 1
again 1
agents 3
airplane 1
all 1
allows 1
also 3
although 1
american 2
an 5
and 24
are 2
army 2
arrange 1
as 4
asa 1
assassinate 1
assist 1
at 2
attempting 1
author 1
badly 1
bar 1
be 2
become 1
behind 1
belfast 1
berlin 1
black 1
both 1
branch 1
bribes 1
brigadier 1
brothers 1
but 3
buys 1
by 4
canaris 2
captain 1
carter 1
carver 1
carvers 1
catch 1
chaplain 1
characters 1
charge 1
chateau 1
churchill 1
clear 1
coast 2
commandeer 1
communications 1
contacts 1
contents 1
corps 1
corroborate 1
country 1
county 1
coup 2
dangerous 1
deciding 1
devlin 6
did 1
die 1
document 1
dossier 2
double 1
dougal 1
down 1
drive 1
effect 1
embarrass 1
embassies 1
end 1
england 1
ensues 1
enters 1
epilogue 1
equipment 1
erwin 1
escape 2
events 1
executive 1
fate 1
find 1
flight 1
fly 2
fog 1
fogbound 1
foil 1
following 1
for 1
force 1
forced 1
france 1
free 1
french 1
from 5
gangsters 1
general 1
german 3
germany 1
gives 1
guise 1
had 1
happened 1
he 2
heinrich 1
higgins 4
him 4
himmler 5
his 2
historian 2
hitler 4
hold 1
hope 1
hopes 1
hospital 1
hostage 1
house 1
hundredyear 1
illegally 1
imprisoned 1
in 26
incident 1
including 1
intelligence 2
into 1
investigated 1
ira 1
ireland 2
is 10
it 4
jack 1
kent 1
kill 1
killed 2
knowledge 1
kurt 1
landing 3
launch 1
lavinia 1
learning 1
learns 2
leaving 1
leeper 1
liam 2
lisbon 1
living 2
london 5
longstanding 1
make 2
makes 1
making 1
marketeers 1
max 1
mayo 1
meets 1
meticulously 1
munro 1
munroe 2
must 1
nazi 1
near 1
nearby 1
net 1
never 1
not 4
novel 1
novels 2
obtained 1
obtains 1
of 11
office 1
officer 1
on 2
one 1
only 1
operation 3
operations 1
opposed 1
opts 1
orders 1
originally 1
out 1
owned 1
parachutes 1
paratroopers 1
photocopy 1
pilot 2
place 2
planned 2
plot 2
plotting 1
police 1
possible 1
possibly 1
present 2
previous 1
priory 3
prison 1
prologue 1
propaganda 1
public 2
purports 1
quicker 1
radio 1
raf 1
record 1
recovery 1
recruits 1
recurring 1
relocated 1
remain 1
rescue 3
revealed 2
road 1
rommel 1
sanctuary 1
schellenberg 5
sd 1
secret 1
seeks 1
senior 1
several 2
shaw 3
shaws 1
shootout 1
shortly 1
sinking 1
sir 1
sister 1
some 1
spanish 1
special 3
stage 1
steiner 11
still 1
story 2
subsequent 1
successful 1
successor 1
summons 1
sure 1
surrounded 1
survival 1
sympathizers 2
take 1
tell 1
than 1
that 6
the 26
their 3
they 4
thick 1
this 1
to 24
tower 1
tracks 1
two 1
vaughan 4
via 1
vicious 1
walter 1
wapping 1
war 1
was 2
which 2
whilst 1
who 3
wilhelm 1
will 1
with 4
working 1
wounded 1
