19723388
/m/04my81d
/m/04my81d
E.T.A. Hoffmann
1819
1000 1
34allow 1
34and 1
34inborn 1
34strange 1
a 42
able 4
about 2
above 1
access 1
accomplice 1
accused 1
accusing 1
action 1
actor 1
acts 1
adjures 1
adulterous 1
advice 1
affair 1
afraid 2
after 3
again 4
all 1
allowed 1
also 2
amant 1
an 10
and 51
anne 1
appeal 3
appointed 1
apprenticed 1
approach 1
ardente 1
are 6
around 1
arrange 1
arrested 2
arrive 1
artist 1
as 9
asked 1
assistant 2
astonished 1
at 4
attack 2
attacked 1
attempted 1
attempts 2
attribute 1
authorities 1
avowals 1
away 2
back 2
band 2
bangs 1
be 4
beautiful 2
became 1
because 6
become 1
becomes 2
been 4
before 1
begs 1
behalf 1
behind 1
being 2
believe 2
believing 1
beloved 3
best 3
betrothed 1
bizarre 1
blind 1
blow 1
both 1
bought 1
box 4
brought 2
brusson 1
brutality 1
but 17
by 17
cannot 1
cardillac 20
cardillac3s 5
cared 1
carried 1
case 3
catching 1
cause 1
caused 1
chamber 1
chambre 2
chance 1
charged 1
child 2
church 1
circumstantial 1
citizens 1
city 1
clear 1
coach 4
combat 1
commissioned 1
commit 1
complete 1
condition 1
confess 2
confesses 1
consider 1
consistently 1
consulted 1
contact 1
contents 1
continues 1
convince 1
convinces 1
corpse 1
costly 1
counters 1
court 1
cover 1
craint 1
create 1
creates 1
crime 2
crimes 1
crowd 1
cruelty 1
curses 1
customer 1
customers 1
d3andilly 2
d3or 1
dagger 3
damour 1
danger 2
dark 1
darkness 1
daubign 1
daughter 4
days 2
de 21
decided 1
decides 2
defends 1
delay 1
deliberate 1
deliver 3
denies 1
described 1
desgrais 1
despair 1
desperation 1
destiny 1
destroyed 1
detail 1
diamond 1
did 1
die 1
died 2
digne 1
distraught 1
do 1
does 3
door 1
dowery 1
drive34 1
during 1
earns 1
elderly 1
embodiment 1
ends 1
entrance 2
establish 1
establishes 1
eustace 1
even 2
evening 1
events 1
eventually 3
everywhere 1
evidence 2
evil 1
evildoing 1
exalting 1
exhort 1
experience 1
exquisite 1
failures 1
fallen 1
falls 2
famous 2
far 1
father 2
fears 1
feelings 1
field 1
filled 1
finally 2
find 1
finds 1
fine 2
fled 1
flees 1
followed 1
following 1
for 12
force 1
forced 1
forces 1
foreboding 1
form 1
fortune 1
france 1
franoise 1
freed 1
friend 2
from 4
frustration 1
geneva 3
getting 1
gift 1
gifts 1
give 1
given 1
glass 1
glimpse 1
goldsmith 3
goldsmith3s 1
grace 1
graciously 1
granted 1
grants 1
ground 1
guard 1
guards 1
guilt 2
had 14
happened34 1
happily 1
has 7
hatred 1
have 3
he 32
head 1
heard 1
hears 1
heart 2
heed 1
her 27
here 1
herself 1
higher 1
him 17
himself 4
hired 1
his 41
historical 2
homes 1
honest 1
honor 1
hope 2
house 12
how 2
however 2
i 1
if 4
image 1
immediately 2
imploring 1
impoverished 1
in 44
including 1
industrious 1
information 1
informs 1
injuries 1
innocence 3
innocent 1
instantly 1
instead 3
intense 1
intention 1
intercede 1
interest 1
into 4
investigate 1
invites 1
involve 1
involved 1
involving 1
inwardly 1
is 37
issued 1
it 3
jealousy 1
jewel 2
jewelry 13
jokingly 1
just 1
kill 1
killed 2
king 7
king3s 1
knees 1
known 1
knows 1
la 5
labeled 1
later 7
lawyer 2
learning 1
least 1
leave 1
leaves 1
led 2
left 1
les 1
lets 1
letter 7
life 4
live 1
lived 1
lives 1
living 1
loathsome 1
locked 1
longing 1
look 1
louis 3
love 4
loved 1
lover 2
lovers 3
lovingly 1
made 3
madeleine 1
madelon 5
madelon3s 2
mademoiselle 20
maid 3
maintenon 3
makes 1
man 5
man3s 2
marked 2
marquise 3
marriage 1
married 1
marry 1
master 2
me 3
meet 2
meeting 1
meets 1
members 1
miossens 4
mistress 1
mistresses 1
modest 1
month 1
months 1
morning 1
most 3
mostly 1
mother 1
mounted 2
move 1
much 1
murder 6
murdered 1
murderer 1
murderer34 1
must 1
my 1
mysteries34 1
mystery 1
name 2
names 1
necessary 1
necklace 2
nest 1
neuf 1
nevertheless 1
next 1
night 2
not 12
note 1
nothing 1
now 2
number 1
obey 1
of 54
offers 2
officer 3
often 1
olivier 32
olivier3s 4
on 8
once 2
one 3
only 5
opens 1
or 1
order 2
organized 1
others 1
out 2
outside 1
over 1
overcome 2
own 2
owners 2
pangs 1
paris 7
part 1
permission 1
perpetrators 1
person 1
piece 1
pieces 2
piety 1
pity 1
place 1
plaguing 1
plead 1
pleads 1
pledge 1
plot 1
poem 1
poetess 1
point 1
poisonings 1
police 2
pont 1
possible 1
postponed 1
poverty 1
powers 1
pregnant 1
present 2
presented 1
presents 1
president 1
presumed 1
pretense 1
prevent 1
prison 2
profession 2
property 1
protect 1
protest 1
protests 1
proves 1
punish 1
purpose 1
qui 1
quickly 1
quoted 2
raised 1
receive 1
receives 1
recognizes 2
reestablish 1
refuse 1
refuses 1
regarding 1
reign 1
relates 3
remark 1
ren 2
rendered 1
renowned 1
repeats 1
request 1
response 1
rest 1
retrieve 1
retrieved 1
return 3
returned 2
reveal 1
reveals 2
review 1
rgnie 5
riding 1
rightful 2
rob 1
rue 1
ruin 1
safety 1
said 1
saint 1
save 1
saw 2
says 1
scents 1
scudri 14
scudri3s 3
scudry 1
secrecy 1
secret 2
secretly 1
seduced 1
seek 1
seeks 1
seen 1
selfdefense 1
series 1
several 1
she 18
siege 1
silence 1
simply 1
since 1
situation 1
skilled 2
slip 1
small 1
so 1
sole 1
solution 1
some 4
something 1
sometimes 1
son 1
soon 1
sorrow 1
sound 1
spanish 1
spare 1
speak 1
special 1
st 1
stabbed 2
stage 1
star 1
statement 2
states 1
stating 1
steal 1
still 1
stolen 1
stop 1
stored 1
story 6
strange 1
street 2
subsequently 1
successful 1
such 1
suffering 1
sumptuous 1
support 1
surrounded 1
take 1
takes 3
tells 6
terrible 2
terror 1
testimony 1
thanks 2
that 23
the 128
thefts 1
their 7
them 4
then 4
there 1
these 1
they 2
thieves 3
this 7
those 1
threatened 1
threw 2
through 2
thrown 1
throws 1
thrust 1
thrusting 1
thwarted 1
time 1
to 78
told 2
took 1
torn 1
torture 2
touched 1
travels 1
trial 1
tries 1
truth 2
two 2
un 1
uncertain 1
uncertainty 1
unconscious 2
under 5
unexpectedly 1
unfortunate 1
unmoved 1
unsuccessful 1
until 1
urgently 1
utter 1
verse 3
very 1
victims 2
view 1
violent 1
virtue 2
visits 1
voleurs 1
wait 1
want 1
wanted 1
wants 1
warning 1
warns 1
was 12
watchmaker 1
way 2
wealthy 1
weapon 1
well 1
wellknown 1
went 2
were 1
what 2
whatever 1
when 5
where 2
which 3
while 2
who 15
whom 4
whose 3
wife 1
will 3
with 20
within 2
woman 2
work 2
works 1
workshop 1
world 1
worn 1
worthy 1
would 3
writer3s 1
writing 1
xiv 1
you 2
young 8
zeal 1
