5407407
/m/0dkh7h
/m/0dkh7h
Justin Richards

{"/m/014dfn": "Speculative fiction"}
a 2
ace 1
again 1
all 1
an 1
and 2
archeological 1
are 1
bernice 2
but 1
by 1
contaminates 1
dangerously 1
die 1
doctor 1
ends 1
expedition 1
fictitious 1
friends 1
future 1
good 1
greatest 1
hamlet 1
her 1
in 1
into 1
is 2
leading 1
lethal 1
lost 1
mexaus 1
murders 1
new 1
now 1
of 3
one 1
osterling 1
paralleled 1
planet 1
play 2
playwright 1
professor 1
purportedly 1
radiation 1
real 1
recreation 1
shakespeare 1
soldiers 1
stanoff 1
start 1
sucked 1
summerfield 1
summons 1
surface 1
survivor 1
the 8
they 1
to 1
tragedy 1
tragic 1
trip 1
visitors 1
which 1
with 1
