10994136
/m/02qxk27
/m/02qxk27
Louis Sachar
1994
10 2
100 2
1000 1
13 1
14 1
15 1
18 1
1th 2
2 2
25 2
250 1
2thfloor 1
30 1
300 1
30th 1
500 1
58 1
6 2
60 1
600 1
65 1
650 1
750 1
806 1
850 1
a 32
ability 1
about 5
account 1
acquires 1
act 2
activities 1
addition 2
addressed 1
after 1
again 3
against 1
agrees 1
all 7
allison 5
also 7
although 3
among 1
an 2
and 27
another 3
answer 1
answers 4
any 1
arcs 1
are 10
argument 1
arguments 2
arithmetic 8
around 3
as 20
asked 4
asks 2
asserted 2
assertions 1
asserts 2
assessing 1
assumptions 1
at 6
attempting 1
attempts 1
attending 1
automatically 1
avoid 1
aware 1
backstory 1
bacon 1
based 2
be 12
bebe 2
because 2
becomes 1
been 4
behaviour 1
being 2
believing 2
benjamin 4
between 1
beyond 1
birthday 1
book 3
both 4
boys 3
bras 2
built 1
but 5
button 1
by 12
calvin 1
can 2
cancel 1
candidate 2
card 1
cards 3
case 1
cat 2
catch 2
cause 2
causes 1
causing 1
chapter 6
chapters 5
chased 1
claim 1
class 9
classwikitable 1
closest 1
clueless 1
colleague 1
commissioned 1
compete 1
complain 5
complains 1
complicated 1
compliments 1
computer 3
concerns 2
conclude 2
conclusions 1
concurs 1
conditional 2
confused 1
considering 1
consists 1
contain 1
contains 1
contest 1
contexts 1
convinced 2
correct 1
could 3
counterfactual 1
covering 3
crass 1
cryptarithm 5
cryptarithms 4
dameon 4
dana 3
data 5
day 2
days 1
dead 1
debacle 1
debate 1
debated 1
decided 1
decision 1
declares 2
deedee 3
demanded 1
destroyed 1
determine 6
determined 1
developments 1
disturbing 1
dj 3
dog 2
down 2
driving 1
drop 1
due 2
during 2
dwarfed 1
each 5
egg 1
eight 3
eleventh 1
eliminated 2
encompassing 1
end 3
endure 1
entered 1
enters 2
equation 1
eric 3
erics 1
event 1
events 1
every 2
except 2
excited 1
expect 1
face 1
faculty 3
fails 2
false 3
falsity 1
fangs 2
faulty 2
feature 1
feet 5
few 1
final 1
find 3
finish 1
finishing 1
first 5
five 6
flagpole 10
flags 1
floor 2
floors 1
following 6
for 7
foreign 1
form 1
formed 1
four 5
fourth 1
frequently 1
friday 1
from 7
fry 1
game 1
generallydetestible 1
generated 1
gets 1
girls 3
given 7
good 1
grade 2
grading 1
great 1
habit 1
had 9
hand 2
hardest 1
have 2
having 1
he 1
head 1
height 8
heights 3
held 6
hence 1
her 13
hidden 1
him 1
home 1
hot 1
how 1
however 3
ideal 1
identify 2
ie 1
if 4
impose 1
in 29
inadvertently 1
include 1
included 1
including 1
instead 1
into 1
introduced 3
inviting 1
involving 7
is 18
issue 1
it 4
