26582126
/m/0bhcbs5
/m/0bhcbs5

1986
{"/m/02xlf": "Fiction"}
a 7
abuses 1
all 1
and 4
as 1
becomes 1
before 1
betrothed 1
can 1
city 2
construction 1
cruz 1
cynical 1
decent 1
demeanor 1
desperately 1
develops 1
escape 1
eventually 1
ever 1
experiences 1
finally 1
finding 1
fisherman 1
for 2
from 1
goes 1
gradually 1
had 1
he 3
her 1
his 2
hold 1
hope 1
however 1
in 4
is 2
job 1
julio 7
lady 1
learns 1
left 1
ligaya 5
looks 1
loses 2
manila 2
mrs 1
named 2
now 1
of 3
on 1
order 1
place 1
plan 1
poor 1
put 1
reunites 1
scums 1
search 1
she 1
site 1
slavery 1
sleep 1
slowly 1
some 1
sometime 1
study 1
that 1
the 2
this 1
to 5
trip 1
victim 2
when 1
where 1
while 1
white 1
with 1
work 1
working 1
