4322122
/m/0bx0b9
/m/0bx0b9
Matthew Stover

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 8
academy 1
addition 1
adept 1
after 1
also 2
an 2
and 7
as 1
avert 1
be 1
beat 1
by 1
caine 3
characters 1
clear 1
colonization 1
crowded 1
daughter 1
details 1
die 1
earth 3
easy 1
especially 1
events 1
executive 1
executives 1
exiled 1
exploitation 1
faith 1
for 2
form 1
former 2
friend 2
girl 1
god 2
hansen 1
hari 2
he 3
hell 1
her 1
heroes 1
highwater 1
his 2
home 1
hrvp 1
in 1
including 1
infect 1
infection 1
into 1
is 2
it 1
its 1
killing 1
known 1
kris 1
lives 1
maelkoth 1
michaelson 2
monastic 1
must 1
new 1
no 1
now 2
number 1
obsessed 1
of 6
on 1
one 1
other 1
overworld 2
paraplegic 1
plague 1
plot 1
population 1
puppet 1
rabies 1
raithe 1
resources 1
restore 1
said 1
save 1
seven 1
shanna 1
story 1
studio 1
tanelkoth 1
that 1
the 9
through 2
to 5
try 1
uncovers 1
used 1
virulent 1
way 2
wife 1
with 3
work 2
world 1
would 2
years 1
young 1
