6870034
/m/0gth_z
/m/0gth_z
Alister McGrath
2004
{"/m/06mq7": "Science"}
2 1
a 6
absence 1
accepting 1
according 1
agnostic 1
all 1
also 2
an 2
analogy 1
and 6
any 1
argues 4
argument 1
articulated 1
assumptions 1
atheistic 1
based 1
begins 1
belief 1
beliefs 1
biology 1
blind 2
book 1
by 1
calls 1
cannot 1
christian 3
christianity 1
claims 1
clearly 1
cluster 1
conclude 1
conclusions 1
conclusively 1
contrast 1
course 1
critics 1
crucial 1
culture 1
current 1
darwinism 1
darwinist 1
dawkins 10
declare 1
defence 1
defend 1
defends 1
defined 1
definition 2
development 1
dismiss 1
disproves 1
does 4
entail 1
equate 1
evidence 2
evidencebased 1
evolution 1
evolutionary 2
exist 1
existence 2
explain 1
fails 1
faith 2
frequently 1
generally 1
god 4
gods 1
he 2
hidden 1
himself 1
his 1
human 1
ignorant 1
illogical 1
in 4
including 1
is 7
it 2
knowledge 1
largely 1
lead 1
man 1
mcgrath 9
means 1
memes 1
method 1
mischaracterizes 1
more 1
necessarily 1
neither 1
no 2
nonscientific 1
nor 1
not 4
of 15
offers 1
on 1
or 4
other 1
overview 1
page 1
paleys 1
particular 1
people 1
person 1
pnbsp2 1
position 1
precisely 1
premises 1
presents 1
proposal 1
prove 1
proves 1
rather 1
rational 1
reasoning 1
refutation 2
rejection 1
religious 2
require 1
scientific 2
several 1
should 1
since 1
state 1
states 1
straw 1
such 1
support 1
tenets 1
than 1
that 9
the 9
then 2
theology 1
theory 2
there 1
to 7
trust 2
understanding 1
unexamined 1
unless 1
unscientific 1
unstated 1
uphold 1
upon 1
use 1
values 1
very 1
view 1
violates 1
watchmaker 1
way 1
what 1
william 1
with 1
world 1
would 1
