12715930
/m/02x1zbb
/m/02x1zbb
Jerry Spinelli
2007-08-14
16yearold 1
6yearold 1
a 14
about 3
absence 1
acquaintances 1
actually 1
affected 2
agoraphobic 1
all 1
allowing 1
almost 1
also 3
alvina 1
an 1
and 20
ankle 1
another 1
any 1
archie 2
arizona 1
arrival 1
arrives 1
arriving 1
as 2
asks 1
at 2
attempt 1
attend 1
autumn 1
avoid 1
baby 1
back 1
beam 1
becomes 2
been 3
befriends 1
beginning 1
betty 4
book 1
both 1
boy 1
break 1
built 1
burdening 1
but 3
by 8
calendar 4
calls 2
celebrate 1
celebration 1
cold 1
comforts 1
confusion 1
costume 1
counting 1
crowd 2
cuts 1
day 1
days 1
deal 1
delivers 1
discovers 1
do 2
donuts 1
dootsie 3
down 1
elder 1
empty 1
enchanted 3
encountered 1
end 2
ending 1
ends 1
entries 1
everyone 1
fallen 1
falling 1
family 1
feeding 1
feeling 1
feelings 1
find 1
fire 1
first 1
five 1
flock 1
for 3
former 1
forming 1
friend 2
friends 2
from 2
getting 2
girl 1
grumpy 1
had 1
halloween 1
happening 1
happiness 1
happy 1
harem 1
has 5
hasnt 1
have 1
having 1
he 2
heart 1
her 29
herself 1
hill 5
him 1
his 4
hole 1
home 1
homeschooled 1
honeybees 1
hospital 2
house 2
huge 1
in 18
including 1
introduces 1
inviting 1
is 13
jobs 1
joining 1
journal 1
keeps 1
kiss 1
last 1
learns 1
leaving 1
left 1
leo 3
letter 1
level 1
life 2
living 2
lonely 1
longest 1
lou 4
loud 1
lovable 1
love 1
lungs 1
magic 1
magnified 1
missing 1
moment 1
morning 1
mother 1
mysterious 1
narrator 1
new 4
next 1
nice 1
nine 1
no 1
now 1
nows 1
of 13
on 3
once 1
one 1
only 1
other 1
over 1
overwhelmed 1
own 1
parents 1
party 2
pennsylvania 1
people 3
perry 7
personal 1
pet 1
pierces 1
planning 1
plant 2
planting 1
possible 1
profoundly 1
quite 1
rat 1
reality 1
reassured 1
recovers 1
rejected 1
remember 1
representing 1
residents 1
resorting 1
returns 2
sad 1
sees 1
series 1
sets 1
several 2
share 1
she 16
shine 1
should 1
show 1
single 1
smokedamaged 1
solar 1
solstice 4
soon 1
spatula 2
special 1
spell 1
sprained 1
stargirl 12
start 2
stays 1
stealing 1
stones 1
story 1
stream 1
summer 1
sunlight 1
sunrise 3
support 1
surprised 1
takes 1
teacher 1
teen 1
tells 3
tent 2
that 2
the 26
them 1
this 2
through 2
time 1
to 21
town 2
truth 1
trying 1
turns 1
uncertainty 1
under 1
unfamiliar 1
up 2
very 1
visited 1
wagon 1
wall 1
warn 1
weeks 1
well 1
what 3
when 2
where 1
which 2
who 7
whom 1
will 1
winter 6
wisdom 1
with 10
woman 1
working 1
world 1
worried 1
years 1
young 1
