18236541
/m/04cwqwq
/m/04cwqwq
David Levithan


1000 1
11 1
130s 1
312 1
45 1
723 1
a 11
abe 1
acute 1
affirmed 1
after 1
against 1
aids 1
aka 1
alice 1
all 3
along 1
alongside 1
also 2
although 2
american 2
and 15
andreas 1
are 2
as 4
asking 1
author 1
been 1
before 1
began 3
believes 1
below 1
between 1
boyfriend 1
by 3
care 1
causing 1
christ 1
christian 1
citizens 1
civil 1
combat 1
companies 1
conservative 1
countries 1
country 1
court 1
created 1
creation 1
crises 1
critic 1
debt 2
decades 1
decent 1
decided 1
decisive 1
deficit 1
dei 1
demands 2
denial 1
depression 4
described 1
dilemma 1
divided 1
drastically 1
drug 1
duncan 1
dying 1
economic 1
education 1
elected 1
election 3
encourages 1
end 4
established 2
even 2
events 1
everywhere 1
extremists 1
faithful 1
far 1
favour 1
fear 1
fed 1
finds 1
first 2
focus 1
followers 1
for 4
foreign 1
fuel 1
further 1
gather 1
gay 2
government 1
governor 1
greater 3
hard 1
has 4
he 4
health 2
helped 2
him 1
himself 1
his 2
hoffman 2
home 1
homosexuals 2
however 1
hurricane 1
impact 1
improved 1
in 8
including 1
ineffective 1
inequality 1
inflating 1
ingenious 1
inspire 2
into 1
intolerance 1
is 7
it 2
its 1
itself 1
jesus 4
jewish 2
just 1
kansas 1
landed 1
launching 1
led 1
left 1
levithan 1
liberal 1
limelight 1
lines 1
lives 1
love 1
main 1
many 1
margin 1
marriage 1
martinez 1
mate 1
members 1
mere 1
merely 1
messenger 1
monopoly 1
more 2
most 1
motivated 1
movement 1
named 1
nations 1
notes 1
novel 2
occurred 2
of 12
on 4
ongoing 1
openly 2
opens 1
opposed 1
opus 1
over 1
parents 1
party 1
passionate 1
past 1
peace 1
pendulum 1
people 1
personal 1
place 2
political 1
politically 2
politics 1
power 1
prada 1
preached 1
president 2
prevailed 1
prices 1
program 1
progressive 1
promoting 1
protest 1
proved 1
quake 1
race 1
rapidly 1
readers 1
recount 1
reign 1
remained 1
remains 1
repayment 1
rest 1
revelation 1
revolution 3
rich 1
rights 1
riots 1
running 1
see 1
signalling 1
slightly 1
some 1
spending 1
stand 1
started 2
states 2
stay 1
stein 6
strong 1
struggling 1
support 1
supporter 1
supreme 1
swung 1
take 1
teenager 1
than 1
thanks 1
that 4
the 40
thing 1
thus 2
tight 1
time 1
to 17
too 1
took 2
tragic 1
transpired 1
trials 1
turning 1
unexplained 1
united 2
up 2
upon 1
violence 1
vote 2
voters 1
votes 1
wanda 1
want 1
war 3
wars 3
was 1
watershed 1
wayne 1
were 1
what 1
when 4
which 2
while 1
who 4
whole 1
with 2
won 1
worldwide 1
yet 1
young 2
