13028369
/m/02z3y8r
/m/02z3y8r
Rex Stout
1968-05-28
1000 1
144 1
145 1
20 1
2000 1
20000 1
22yearold 1
264000 1
3 1
43 1
500 1
54 1
a 34
about 9
accident 1
acquaintance 1
actually 1
ad 2
adamant 1
ads 1
afresh 1
after 6
afternoon 2
age 1
agent 1
alias 1
all 1
also 1
although 1
amy 24
an 1
and 28
anew 1
annoyed 1
another 1
anyone 1
anything 1
anywhere 1
apartment 2
april 1
archie 30
are 1
arranges 2
arrives 1
as 1
asking 1
asks 3
assist 1
assume 1
at 6
authentic 1
avenue 1
avery 1
back 1
background 1
ballou 4
bank 2
be 8
because 4
been 2
beer 2
before 4
began 2
begin 2
believes 1
bert 1
between 1
bills 1
bodyguard 1
book 1
booth 1
born 5
both 1
breakfast 1
brief 2
brings 1
brought 1
brownstone 2
building 1
but 7
by 8
call 2
calling 1
can 2
cant 1
captured 1
cards 1
care 1
carlotta 3
case 1
casually 1
cather 1
certain 1
certainty 1
chance 1
charges 1
check 1
checks 2
childhood 1
client 1
closed 1
cognac 1
cohen 1
collecting 1
come 2
company 3
concludes 1
convinced 1
cooperate 1
copies 1
could 1
country 1
cover 1
cramer 1
curious 1
custom 1
cyrus 3
daughter 1
day 1
dc 1
de 1
death 1
decided 1
declares 1
deliberately 1
denovo 14
detective 1
did 2
didnt 1
died 1
dinner 1
director 1
disappointed 1
display 1
do 2
documents 1
doesnt 3
dont 1
doubt 1
down 1
drafts 1
drawn 1
drop 1
during 2
durkin 1
easier 1
elinor 8
employed 1
employer 1
end 1
eugene 1
europe 1
even 2
every 1
exceeded 1
expects 1
expensive 1
explains 1
extends 1
eyes 1
fact 1
father 6
fees 1
few 2
find 2
finds 1
first 1
floats 1
floyd 1
following 1
follows 1
for 16
forgetting 2
fred 4
freelance 1
friends 1
from 3
front 1
funds 1
gazette 1
gets 2
getting 1
girl 1
give 2
glass 1
go 1
goes 2
good 3
goodwin 1
graduate 1
had 5
half 1
handwriting 1
hanging 1
has 12
have 3
having 1
he 13
hearing 1
hell 1
help 1
her 22
herself 1
high 1
him 6
hired 1
his 5
hitandrun 2
hours 1
houseguest 1
how 1
humiliation 1
hundreddollar 1
hunt 1
i 1
idea 1
if 1
imposes 1
in 18
indicating 1
information 1
inquiry 1
inspector 1
intercepts 1
interview 1
into 1
intrigued 1
introduces 1
invited 1
irish 1
is 19
isnt 2
it 5
jarrett 6
job 1
july 1
keeps 1
kept 1
killed 5
kind 1
kitchen 1
know 5
knowledge 1
known 1
knows 5
latin 1
leads 2
leaves 1
leaving 1
legally 1
less 1
letter 3
life 2
light 1
like 1
lily 7
little 2
living 2
lobby 1
lon 1
long 2
loss 1
lot 1
lunch 1
m 3
madison 1
makes 1
man 1
material 1
may 1
mccray 2
meets 1
minutes 1
mistake 1
money 3
month 2
months 1
more 1
morning 2
mother 10
mrs 3
murder 1
murdered 1
murderer 1
must 2
mystery 1
name 3
nero 3
never 2
new 2
newspaper 1
next 6
no 4
not 6
nothing 4
novo 1
now 2
nowhere 1
obnoxious 1
october 1
of 23
offering 1
office 3
old 2
on 3
once 1
one 6
only 4
or 1
orrie 4
other 1
out 2
own 1
paid 1
panzer 2
papers 1
parks 1
pending 1
people 2
perfect 1
person 1
personal 1
persuaded 1
phone 1
photographs 3
place 2
placing 1
play 2
pm 1
poker 1
police 2
possession 1
predicament 1
presence 2
president 2
press 1
production 1
productions 2
professional 1
progressing 1
promises 1
promising 1
protg 1
purley 2
purposes 1
questions 1
quota 1
rambling 1
raymond 3
reassurance 1
received 2
recent 1
recites 1
recognizes 1
rescuing 1
retainer 1
returns 1
reviews 1
reward 1
risk 1
room 1
rowan 1
run 1
safekeeping 1
saul 6
says 4
seaboard 4
secret 1
sent 1
sergeant 1
she 24
shed 1
short 1
should 1
since 4
sitting 1
situation 1
slug 1
smith 1
so 2
solve 1
some 1
something 3
son 1
soon 1
speaking 1
spend 1
staffed 1
standing 1
stebbins 1
stops 1
supply 1
sure 1
surprised 1
taken 1
television 1
tells 8
terrace 1
than 3
that 17
the 51
then 1
there 5
they 2
this 2
thorne 7
three 1
threemonthold 1
thursday 1
time 1
to 32
too 1
took 1
total 1
traces 1
trust 2
try 1
turn 1
turned 1
turns 1
twentytwo 1
two 2
undoubtedly 1
uninvited 1
up 2
upon 1
vance 1
vaughn 3
verbatim 1
verification 1
very 1
vice 1
vicepresident 1
visit 1
visits 2
walked 1
wants 1
was 14
washington 1
way 1
we 1
wee 1
week 1
weekend 4
well 1
were 3
what 5
when 6
where 2
whereabouts 1
whiskey 1
who 6
whose 1
why 1
will 6
with 6
without 1
wolfe 14
wont 1
work 2
worked 1
working 2
would 2
year 1
years 3
york 1
