4252228
/m/0bsgch
/m/0bsgch
Samuel Youd
1977
15 1
2 1
4 1
a 12
abandons 1
abruptly 1
accelerates 1
accident 2
advanced 1
affects 1
after 5
again 2
aging 1
already 1
although 3
ammunition 1
an 3
and 22
another 1
argue 1
arguments 1
arms 1
arrives 1
arriving 1
as 1
at 3
attack 1
attempts 3
automatic 1
back 4
barely 1
be 1
becomes 1
becoming 1
been 2
before 1
beings 1
big 1
billie 9
body 1
book 1
both 2
brief 1
brings 1
brother 1
but 5
by 3
calcutta 1
called 1
car 3
cat 1
central 1
changes 1
claiming 1
clive 1
committed 1
contact 1
continue 1
contracted 1
could 1
dangerous 2
death 1
decide 2
deciding 1
defend 1
despite 1
despondent 1
destroying 1
detached 1
die 1
difficulty 1
directly 1
discussed 1
disease 1
disgust 1
dogs 2
door 1
downstairs 1
driving 1
due 2
during 5
earlier 1
either 1
end 1
england 1
escaped 1
even 1
eventually 1
evidence 1
expedition 1
farmhouse 1
fatal 1
feeling 1
fellow 1
fever 1
finding 1
finds 3
first 2
flat 1
followed 1
following 1
for 1
foraging 1
found 1
friendly 1
friends 1
from 4
get 1
girl 2
goes 2
goods 1
gradually 1
grandparents 2
guilt 1
gun 1
had 1
has 6
have 1
he 7
heard 1
her 6
him 6
himself 2
his 8
hostile 1
hours 1
house 1
human 1
implied 1
in 10
initially 1
injured 1
inside 1
into 1
involve 1
is 9
it 7
its 1
jaguar 1
kept 1
kill 1
kitchen 1
knife 1
last 1
least 1
leave 1
leaves 3
leaving 1
let 2
life 1
live 1
local 1
lock 1
london 3
look 1
lucy 6
manual 1
meets 1
mentally 1
miller 1
mind 1
mini 1
more 1
mother 1
move 1
much 1
neil 18
neils 1
never 2
new 1
news 1
night 1
notes 2
occasional 1
of 12
old 4
on 1
one 1
only 1
open 1
openly 1
or 1
origin 1
orphaned 1
other 1
out 1
outside 2
over 2
overpowers 1
packs 1
paragraph 1
part 1
peers 1
period 1
pistol 1
plague 4
pleads 1
point 1
post 1
premeditated 1
previously 1
process 1
progresses 1
quickly 1
rats 1
relationship 1
returns 1
ring 1
romantic 1
school 1
she 1
shop 1
shown 1
side 1
sole 1
some 1
sporting 1
stabbing 1
starts 1
stays 1
steals 1
stress 1
suffered 1
suffers 1
suicide 1
supplanted 1
survivor 3
survivors 1
taken 1
takes 1
taking 2
teacher 1
that 9
the 23
their 2
then 1
they 3
this 3
those 1
time 3
to 18
towards 2
traumatic 1
travels 1
tries 1
trust 1
unaffected 1
unbalanced 1
uniformly 1
unloaded 1
unseen 1
unspecified 1
until 2
vandalizes 1
way 1
when 1
where 1
which 3
who 2
wild 1
winchelsea 3
with 10
would 1
year 3
years 1
zoo 1
